sha,date,kind,message,files,n_lines,reverts_cleanly,development_set
e49e4950,2006-02-26,model,Fixed flaps in aircraft models and added normalized flaps for animation,aircraft/747/747.xml;aircraft/A320/A320.xml;aircraft/A380/A380.xml;aircraft/B747/B747.xml;aircraft/C130/C130.xml;aircraft/DHC6/DHC6.xml;aircraft/F80C/F80C.xml;aircraft/L17/L17.xml;aircraft/L410/L410.xml;aircraft/MD11/MD11.xml;aircraft/SGS/SGS.xml;aircraft/T37/T37.xml;aircraft/T38/T38.xml;aircraft/XB-70/XB-70.xml;aircraft/c172p/c172p.xml;aircraft/c172r/c172r.xml;aircraft/c172x/c172x.xml;aircraft/c182/c182.xml;aircraft/c310/c310.xml;aircraft/f104/f104.xml;aircraft/f22/f22.xml;aircraft/minisgs/minisgs.xml;aircraft/p51d/p51d.xml;aircraft/pa28/pa28.xml;aircraft/pc7/pc7.xml;aircraft/sgs126/sgs126.xml;aircraft/t6texan2/t6texan2.xml,483,False,False
b7b83cce,2006-02-26,model,Fix for legacy flaps reference and extra Cnb,aircraft/f22/f22.xml,10,False,False
94330b33,2006-01-24,model,Fixes from Mathias.,aircraft/A380/A380.xml;engine/TRENT-900.xml,76,False,False
c8c21e75,2006-01-22,model,Fix the calculation of the normalized surface positions.,aircraft/f16/f16.xml,59,False,False
5788d6e9,2006-01-02,cpp,Fixed off-standard temperature effects to work with externally-driven atmosphere.,src/models/FGAtmosphere.cpp;src/models/FGAtmosphere.h,176,False,False
12b1c8f1,2005-12-30,model,mach norm fix ... again,aircraft/B747/B747.xml,6,False,False
73137e37,2005-12-17,cpp,Long-awaited fix for landing gear jitter. This is a preliminary fix. Tweaks needed. There also appears to be a strange left drift that is of unknown origin. May be from EOM problem. May be precision. Who knows at this point.,src/models/FGLGear.cpp,34,False,False
1968ac61,2005-12-16,model,Fix ground contact points,aircraft/sgs233/sgs233.xml,55,False,False
eb05b342,2005-12-03,cpp,Fix to the Kinemat component,src/models/flight_control/FGKinemat.cpp,8,False,False
32a7879a,2005-12-03,model,Fix to the F-16 model,aircraft/f16/f16.xml,67,False,False
7fc4380d,2005-12-03,cpp,"IMPORTANT fix to kinemat component, which I broke earlier",src/models/flight_control/FGKinemat.cpp,6,False,False
809023f7,2005-12-03,cpp,Fix to aerosurface scale component for proper scaling across the zero point,src/models/flight_control/FGGain.cpp,7,False,False
d70e114a,2005-11-12,cpp,Added Jiri Javurek's propeller mods (for reversible prop and feathered prop) fixes in FGPropeller,src/models/propulsion/FGPropeller.cpp;src/models/propulsion/FGPropeller.h,69,False,False
518fd7f8,2005-11-12,cpp,Fixed an initialization bug in FGTable,src/math/FGTable.cpp,8,False,False
a67599d1,2005-09-18,cpp,Added thrust as a property to turbine engine model for cure to bug ID 1079202,src/models/propulsion/FGTurbine.cpp;src/models/propulsion/FGTurbine.h,15,False,False
d6254195,2005-09-17,cpp,Fixed strange bug (extraneous N2Norm term) in Turbine model,src/models/propulsion/FGTurbine.cpp;src/models/propulsion/FGTurbine.h,13,False,False
deea589a,2005-09-10,cpp,Adjusted some error handling code,src/models/FGFCS.cpp;src/models/flight_control/FGFCSComponent.cpp,17,False,False
dd49f511,2005-07-03,cpp,Fixed last thing - now works,src/models/FGLGear.cpp,5,False,False
e135d4cb,2004-12-19,model,Fixed aero coeff factor,aircraft/f16/f16.xml,6,False,False
f746d469,2004-09-09,model,"Oops, something went wrong obviously.",engine/PT6A-27.xml,4,False,False
973b459d,2004-07-03,model,"fixed ending tag; tweaks to thrust, tsfc, bpr",engine/CF6-80C2.xml,20,False,False
d099bd24,2004-06-20,model,Fixed RB211 engine,engine/RB211-524.xml,5,False,False
901049d1,2004-02-06,model,Fix a mistake which prevented the rudder from working properly,aircraft/T37/T37.xml;aircraft/f16/f16.xml,15,False,False
d6c0dcc3,2003-03-24,model,Brown paperbag fix,aircraft/f16/f16.xml,40,False,False
932b393f,2003-03-14,model,Fixed gear locations,aircraft/shuttle/shuttle.xml,14,False,False
ee7a299e,2003-02-23,model,Damper updates and small fixes,aircraft/f16/f16.xml,12,False,False
c24175e8,2003-02-12,model,Latest 737 and T38 by David Culp. Fix to SGS config file,aircraft/737/737.xml;aircraft/SGS/SGS.xml;aircraft/t38/t38.xml;engine/CFM56.xml;engine/J85-GE-5.xml,529,False,False
8cd2e10a,2002-09-11,model,More fixes.  It trims now.,aircraft/f16/f16.xml,24,False,False
8d320ccb,2002-05-31,model,"New version of PA-28 Cherokee file, with fix as pointed out by Tony Peden",aircraft/pa28/pa28.xml,80,False,False
adf3b50a,2002-03-01,model,"Fixed a boo-boo.  Thanks, Jon.",aircraft/c172/c172.xml,12,False,False
3c6713cc,2002-02-06,model,Fixed overly large side force due to rudder term.  Slip-skid indicator will go the correct direction now!,aircraft/c172/c172.xml,6,False,False
4e884ac2,2002-02-03,model,"Fixed Cyb, removed engine yaw.",aircraft/c172/c172.xml,10,False,False
1b896e5f,2002-01-22,model,"Fixed directional stability table, tuned engine yaw for cruise (105 kts @ 8000 ft)",aircraft/c172/c172.xml,10,False,False
386bef15,2002-01-04,model,Fixed an oops.,aircraft/c172/c172.xml,8,False,False
20294172,2001-12-24,model,Added pitch fields to all fixed-pitch propellers.,engine/prop30FP2B.xml;engine/prop_75in2f.xml;engine/prop_generic2f.xml,12,False,False
acd76188,2001-12-21,model,"Custom-fix propeller model for a C172R (no mod kit).  This propeller is a kludge - it causes the C172 model to hit some published performance targets, but may be covering up bugs elsewhere in the model.  It should be replaced with real data as soon as any is available.",engine/prop_75in2f.xml,44,False,False
7d3a06cf,2001-12-17,model,Fixed thruster and engine positions.,aircraft/c310/c310.xml,28,False,False
111a527c,2001-12-17,model,Fixed sign error,aircraft/c172/c172.xml,12,False,False
3674b30e,2001-11-21,model,Fixed engine and prop locations,aircraft/c172/c172.xml,12,False,False
d3362f92,2001-10-30,model,Fixed extraneous gear value in config file,aircraft/c172/c172.xml,17,False,False
d859f0ed,2001-07-30,model,Fixed engine horsepower values,engine/engIO360C.xml,4,False,False
65158679,2001-04-08,model,Fixed the pitching moment at flaps 30,aircraft/c172/c172.xml,6,False,False
561fd9f5,2001-04-06,model,Fixed X-15 gear friction coefficient,aircraft/X15/X15.xml,6,False,False
f4a455da,2000-10-03,model,** JSB ** Fixes to config files for gear read,aircraft/X15/X15.xml;aircraft/c172/c172.xml,8,False,False
872a7d55,2000-08-30,model,AKP fixed bad multiplier spec in CDDe,aircraft/c172/c172.cfg,4,False,False
a7ed13f1,2000-04-03,model,Fixed cfg file for X15 (Version),aircraft/X15/X15.cfg,4,False,False
