aircraft,manoeuvre,config,base_vsd,thr,inertia_x1.6,cmq_x0.5,cmalpha_x0.7,clo_+0.1,noop_fa,noop
737,bank_hold,static,0.361,0.099,0.55/1.00 cat 0.80 auc nan,0.46/0.55 cat 0.80 auc 0.56,0.54/0.58 cat 0.80 auc 0.68,0.46/0.55 cat 0.60 auc 0.66,0.5,
737,bank_hold,lags,0.272,0.109,0.41/1.00 cat 0.80 auc nan,0.46/0.60 cat 0.80 auc 0.58,0.54/0.70 cat 0.80 auc 0.65,0.38/0.50 cat 0.60 auc 0.76,0.45,
737,bank_hold,lags+since,0.264,0.104,0.32/1.00 cat 0.80 auc nan,0.46/0.86 cat 0.80 auc 0.59,0.54/0.88 cat 0.80 auc 0.68,0.38/0.50 cat 0.60 auc 0.74,0.32,
737,bank_hold,since,0.298,0.103,0.45/1.00 cat 0.80 auc nan,0.62/0.89 cat 0.80 auc 0.65,0.54/0.88 cat 0.80 auc 0.68,0.38/0.83 cat 0.60 auc 0.75,0.41,
737,flap_extend,static,0.224,0.058,0.00/0.00 cat 0.00 auc nan,0.23/1.00 cat 0.60 auc 0.81,0.08/1.00 cat 0.20 auc 0.72,0.62/0.89 cat 0.80 auc 0.72,0.0,
737,flap_extend,lags,0.196,0.058,0.05/1.00 cat 0.20 auc nan,0.23/1.00 cat 0.60 auc 0.69,0.08/1.00 cat 0.20 auc 0.44,0.69/0.75 cat 0.80 auc 0.72,0.0,
737,flap_extend,lags+since,0.194,0.061,0.05/1.00 cat 0.20 auc nan,0.23/1.00 cat 0.60 auc 0.73,0.08/1.00 cat 0.20 auc 0.42,0.62/0.73 cat 0.80 auc 0.63,0.0,
737,flap_extend,since,0.207,0.06,0.00/0.00 cat 0.00 auc nan,0.31/1.00 cat 0.60 auc 0.86,0.08/1.00 cat 0.20 auc 0.65,0.54/0.78 cat 0.80 auc 0.67,0.0,
737,engine_cut,static,0.291,0.053,0.05/1.00 cat 0.20 auc nan,0.08/1.00 cat 0.20 auc 0.43,0.15/0.67 cat 0.40 auc 0.35,0.62/0.89 cat 0.60 auc 0.79,0.05,
737,engine_cut,lags,0.24,0.052,0.00/0.00 cat 0.00 auc nan,0.15/0.67 cat 0.40 auc 0.55,0.15/0.67 cat 0.40 auc 0.58,0.69/0.82 cat 0.60 auc 0.80,0.0,
737,engine_cut,lags+since,0.228,0.057,0.05/1.00 cat 0.20 auc nan,0.15/0.67 cat 0.40 auc 0.66,0.15/0.50 cat 0.40 auc 0.59,0.85/0.73 cat 1.00 auc 0.77,0.05,
737,engine_cut,since,0.26,0.055,0.05/1.00 cat 0.20 auc nan,0.15/1.00 cat 0.40 auc 0.72,0.15/0.67 cat 0.40 auc 0.63,0.62/0.73 cat 0.80 auc 0.74,0.0,
737,climbing_turn,static,0.419,0.105,0.05/1.00 cat 0.20 auc nan,0.15/1.00 cat 0.40 auc 0.76,0.08/1.00 cat 0.20 auc 0.80,0.23/1.00 cat 0.40 auc 0.88,0.05,
737,climbing_turn,lags,0.334,0.11,0.09/1.00 cat 0.40 auc nan,0.15/1.00 cat 0.40 auc 0.85,0.15/1.00 cat 0.40 auc 0.71,0.23/0.75 cat 0.60 auc 0.74,0.09,
737,climbing_turn,lags+since,0.31,0.098,0.05/1.00 cat 0.20 auc nan,0.15/1.00 cat 0.40 auc 0.76,0.00/0.00 cat 0.00 auc 0.79,0.23/0.60 cat 0.80 auc 0.79,0.05,
