aircraft,mission,variant,mode,n_flagged,recall,precision,auc,gated_recall,gated_auc,n_gated,agreement,correctness,n_explained,false_alarm
global5000,climb_cruise_descend,clo_+0.1,det_phase:climb,8,0.6153846153846154,1.0,0.8461538461538461,1.0,0.9649122807017544,3.0,,0.75,8.0,
global5000,climb_cruise_descend,clo_+0.1,det_phase:turn,11,0.6153846153846154,0.7272727272727273,0.8547008547008547,1.0,1.0,3.0,,0.0,10.0,
global5000,climb_cruise_descend,clo_+0.1,det_phase:cruise,14,0.6923076923076923,0.6428571428571429,0.9487179487179488,1.0,1.0,3.0,,,,
global5000,climb_cruise_descend,clo_+0.1,det_phase:slow,11,0.46153846153846156,0.5454545454545454,0.8461538461538461,1.0,1.0,3.0,,0.7,10.0,
global5000,climb_cruise_descend,clo_+0.1,det_phase:descend,11,0.6153846153846154,0.7272727272727273,1.0,1.0,1.0,3.0,,0.9090909090909091,11.0,
global5000,climb_cruise_descend,clo_+0.1,det_phase:turnback,11,0.38461538461538464,0.45454545454545453,0.5726495726495726,1.0,0.9473684210526315,3.0,,0.0,11.0,
global5000,climb_cruise_descend,clo_+0.1,det_phase:level,11,0.46153846153846156,0.5454545454545454,0.6837606837606837,1.0,1.0,3.0,,,,
global5000,climb_cruise_descend,clo_+0.1,det_phase_any,19,0.7692307692307693,0.5263157894736842,0.5,1.0,0.5,3.0,,,,
global5000,climb_cruise_descend,clo_+0.1,det_phase_max,17,0.6153846153846154,0.47058823529411764,0.5811965811965811,1.0,1.0,3.0,,,,
global5000,climb_cruise_descend,clo_+0.1,sig_dynamic_phase:settle,13,0.46153846153846156,0.46153846153846156,0.4102564102564103,0.3333333333333333,0.40350877192982454,3.0,,,,
global5000,climb_cruise_descend,clo_+0.1,sig_dynamic_phase:climb,14,0.5384615384615384,0.5,0.6837606837606838,0.3333333333333333,0.5263157894736842,3.0,,,,
global5000,climb_cruise_descend,clo_+0.1,sig_dynamic_phase:turn,11,0.5384615384615384,0.6363636363636364,0.5042735042735044,0.3333333333333333,0.28070175438596495,3.0,,,,
global5000,climb_cruise_descend,clo_+0.1,sig_dynamic_phase:cruise,5,0.23076923076923078,0.6,0.6239316239316239,0.3333333333333333,0.3684210526315789,3.0,,,,
global5000,climb_cruise_descend,clo_+0.1,sig_dynamic_phase:slow,9,0.3076923076923077,0.4444444444444444,0.6495726495726497,0.3333333333333333,0.5263157894736842,3.0,,,,
global5000,climb_cruise_descend,clo_+0.1,sig_dynamic_phase:descend,10,0.38461538461538464,0.5,0.3418803418803419,0.3333333333333333,0.3684210526315789,3.0,,,,
global5000,climb_cruise_descend,clo_+0.1,sig_dynamic_phase:turnback,12,0.6153846153846154,0.6666666666666666,0.7008547008547009,0.6666666666666666,0.6140350877192983,3.0,,,,
global5000,climb_cruise_descend,clo_+0.1,sig_dynamic_phase:level,3,0.23076923076923078,1.0,0.7393162393162394,0.3333333333333333,0.5263157894736842,3.0,,,,
global5000,climb_cruise_descend,clo_+0.1,sig_dynamic_phase_any,21,1.0,0.6190476190476191,0.5,1.0,0.5,3.0,,,,
global5000,climb_cruise_descend,clo_+0.1,sig_dynamic_phase_max,16,0.6153846153846154,0.5,0.3418803418803419,0.6666666666666666,0.4210526315789474,3.0,,,,
global5000,climb_cruise_descend,cmalpha_x0.7,det_whole,15,0.6153846153846154,0.5333333333333333,0.5897435897435898,,,,,,,
