fault,set,kind,aircraft,test_case,n_matched,n_cand,n_missing,structural,propagated,es1_max,es1_output,es_max,observable,n_observable_outputs,n_flag_05,min_p
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,rudder_doublet,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0265946810637872
B_elevator_drag_8819410c,development,model,737,bank_hold,10,10,0,False,True,0.0234836950239816,accelerations/udot-ft_sec2,0.0236212243113114,False,0.0,9.0,0.0027994401119776
B_ground_effect_9c058118,development,model,737,bank_hold,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,5.0,0.0081983603279344
B_pqrdot_5ad2694c,development,cpp,737,bank_hold,10,10,0,False,True,0.0158787063393365,accelerations/rdot-rad_sec2,0.0155059784846298,False,0.0,5.0,0.0081983603279344
B_turbine_windmill_2db8e408,development,cpp,737,bank_hold,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,5.0,0.0081983603279344
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,bank_hold,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,5.0,0.0081983603279344
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,bank_hold,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,5.0,0.0081983603279344
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,bank_hold,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,5.0,0.0081983603279344
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,bank_hold,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,5.0,0.0081983603279344
