aircraft,manoeuvre,variant,es_max,n_gated,n_flagged,n_cand,phys_recall,phys_precision,phys_cat_recall,phys_auc,gated_recall,gated_precision,gated_auc,agree_dynamic,correct_dynamic,agree_static,correct_static,gated_cat_recall
737,elev_doublet_distractor,B_ground_effect_9c058118,0.0,0,0,10,0.0,,0.0,0.26495726495726496,,,,,,,,
737,elev_doublet_distractor,B_pqrdot_5ad2694c,0.00018585866040304937,0,0,10,0.0,,0.0,,,,,,,,,
737,elev_doublet_distractor,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.26495726495726496,,,,,,,,
737,engine_restart,B_elevator_drag_8819410c,1.968160373589455,3,21,10,1.0,0.6190476190476191,1.0,0.8547008547008548,1.0,0.14285714285714285,0.7543859649122807,0.8571428571428571,0.42857142857142855,0.7142857142857143,0.2857142857142857,1.0
737,engine_restart,B_ground_effect_9c058118,0.0,0,8,10,0.46153846153846156,0.75,0.6,0.717948717948718,,,,0.125,0.5,0.125,0.375,
737,engine_restart,B_pqrdot_5ad2694c,0.01632629698187404,0,8,10,0.36363636363636365,1.0,0.6,,,,,0.125,0.5,0.125,0.375,
737,engine_restart,B_turbine_windmill_2db8e408,7.910440929496425,6,19,10,0.7692307692307693,0.5263157894736842,1.0,0.4358974358974359,0.8333333333333334,0.2631578947368421,0.5,0.7368421052631579,0.8947368421052632,0.8421052631578947,0.10526315789473684,1.0
787-8,cruise,B_pqrdot_5ad2694c,35.97535068899575,2,2,10,0.09090909090909091,1.0,0.4,,0.5,0.5,0.75,1.0,,0.5,,1.0
787-8,cruise,B_turbine_windmill_2db8e408,0.0,0,1,10,0.0,0.0,0.2,0.4273504273504274,,,,1.0,,0.0,,
787-8,throttle_step,B_pqrdot_5ad2694c,0.005846575972395276,0,2,10,0.09090909090909091,1.0,0.2,,,,,0.0,1.0,0.0,1.0,
787-8,throttle_step,B_turbine_windmill_2db8e408,0.0,0,2,10,0.15384615384615385,1.0,0.2,0.5897435897435898,,,,0.0,1.0,0.0,1.0,
787-8,elev_doublet,B_pqrdot_5ad2694c,4.52816528551827,2,2,10,0.09090909090909091,1.0,0.2,,1.0,1.0,0.975,0.5,1.0,0.5,1.0,1.0
787-8,elev_doublet,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.48717948717948717,,,,,,,,
787-8,elev_step,B_pqrdot_5ad2694c,4.239126960699484,1,6,10,0.2727272727272727,1.0,0.6,,1.0,0.16666666666666666,1.0,0.5,0.8333333333333334,0.16666666666666666,1.0,1.0
787-8,elev_step,B_turbine_windmill_2db8e408,0.0,0,4,10,0.23076923076923078,0.75,0.6,0.5982905982905984,,,,0.5,0.75,0.25,1.0,
787-8,aileron_step,B_pqrdot_5ad2694c,0.0328601343734771,0,1,10,0.045454545454545456,1.0,0.2,,,,,0.0,1.0,0.0,1.0,
787-8,aileron_step,B_turbine_windmill_2db8e408,0.0,0,1,10,0.07692307692307693,1.0,0.2,0.3076923076923077,,,,0.0,1.0,0.0,1.0,
787-8,rudder_doublet,B_pqrdot_5ad2694c,0.0015371311105082637,0,0,10,0.0,,0.0,,,,,,,,,
787-8,rudder_doublet,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.11111111111111113,,,,,,,,
787-8,bank_hold,B_pqrdot_5ad2694c,0.04502613582620566,0,0,10,0.0,,0.0,,,,,,,,,
787-8,bank_hold,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.3418803418803419,,,,,,,,
787-8,flap_extend,B_pqrdot_5ad2694c,16.34617790894098,2,2,10,0.09090909090909091,1.0,0.2,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
787-8,flap_extend,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.5897435897435898,,,,,,,,
787-8,engine_cut,B_pqrdot_5ad2694c,0.02654961721455955,0,1,10,0.045454545454545456,1.0,0.2,,,,,0.0,0.0,0.0,0.0,
787-8,engine_cut,B_turbine_windmill_2db8e408,0.0,0,1,10,0.07692307692307693,1.0,0.2,0.5042735042735043,,,,0.0,0.0,0.0,0.0,
787-8,climbing_turn,B_pqrdot_5ad2694c,0.00405084629864729,0,0,10,0.0,,0.0,,,,,,,,,
787-8,climbing_turn,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.6581196581196582,,,,,,,,
787-8,elev_doublet_distractor,B_pqrdot_5ad2694c,0.00024218084949829375,0,0,10,0.0,,0.0,,,,,,,,,
787-8,elev_doublet_distractor,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.27350427350427353,,,,,,,,
787-8,engine_restart,B_pqrdot_5ad2694c,0.0041710083180548875,0,0,10,0.0,,0.0,,,,,,,,,
787-8,engine_restart,B_turbine_windmill_2db8e408,7.015450992884206,4,17,10,0.6923076923076923,0.5294117647058824,0.8,0.2905982905982906,1.0,0.23529411764705882,0.7777777777777779,0.8235294117647058,0.47058823529411764,0.7058823529411765,0.0,1.0
A320,cruise,B_pqrdot_5ad2694c,11.963844932100377,1,6,10,0.2727272727272727,1.0,0.6,,1.0,0.16666666666666666,0.8571428571428572,0.16666666666666666,,0.16666666666666666,,1.0
A320,cruise,B_turbine_windmill_2db8e408,0.0,0,5,10,0.23076923076923078,0.6,0.6,0.5042735042735043,,,,0.0,,0.0,,
A320,throttle_step,B_pqrdot_5ad2694c,0.0010887711313869778,0,4,10,0.18181818181818182,1.0,0.4,,,,,0.0,0.75,0.0,0.75,
A320,throttle_step,B_turbine_windmill_2db8e408,0.0,0,4,10,0.23076923076923078,0.75,0.4,0.3418803418803419,,,,0.0,0.75,0.0,0.75,
A320,elev_doublet,B_pqrdot_5ad2694c,32.093942605532,2,2,10,0.09090909090909091,1.0,0.2,,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0
A320,elev_doublet,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.5128205128205129,,,,,,,,
