aircraft,manoeuvre,method,fault,recall,precision,cat_recall,cat_precision,auc,n_flagged,flagged,n_gated,gated_recall,gated_precision,gated_auc,false_alarm
737,cruise,regression,clo_+0.1,0.8461538461538461,0.6875,0.8,1.0,0.9145299145299146,16.0,attitude/phi-rad;attitude/theta-rad;attitude/psi-rad;velocities/u-fps;velocities/v-fps;velocities/w-fps;velocities/q-rad_sec;velocities/r-rad_sec;velocities/vc-kts;velocities/vt-fps;velocities/h-dot-fps;accelerations/qdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg;aero/beta-deg,4.0,1.0,0.25,0.8333333333333333,
737,cruise,regression,noop,,,,,,,,,,,,0.09090909090909091
737,cruise,iforest,inertia_x1.6,0.9545454545454546,1.0,1.0,1.0,,21.0,position/h-sl-ft;position/h-agl-ft;attitude/theta-rad;attitude/psi-rad;velocities/u-fps;velocities/v-fps;velocities/w-fps;velocities/p-rad_sec;velocities/q-rad_sec;velocities/r-rad_sec;velocities/vc-kts;velocities/vt-fps;velocities/h-dot-fps;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/rdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg;aero/beta-deg,0.0,,,,
737,cruise,iforest,cmq_x0.5,1.0,0.6190476190476191,1.0,1.0,0.46153846153846156,21.0,position/h-sl-ft;position/h-agl-ft;attitude/theta-rad;attitude/psi-rad;velocities/u-fps;velocities/v-fps;velocities/w-fps;velocities/p-rad_sec;velocities/q-rad_sec;velocities/r-rad_sec;velocities/vc-kts;velocities/vt-fps;velocities/h-dot-fps;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/rdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg;aero/beta-deg,0.0,,,,
737,cruise,iforest,cmalpha_x0.7,0.38461538461538464,1.0,0.6,1.0,0.7350427350427351,5.0,position/h-sl-ft;position/h-agl-ft;attitude/theta-rad;accelerations/qdot-rad_sec2;accelerations/wdot-ft_sec2,4.0,0.5,0.4,0.7777777777777778,
737,cruise,iforest,clo_+0.1,1.0,0.5909090909090909,1.0,1.0,0.5982905982905983,22.0,position/h-sl-ft;position/h-agl-ft;attitude/phi-rad;attitude/theta-rad;attitude/psi-rad;velocities/u-fps;velocities/v-fps;velocities/w-fps;velocities/p-rad_sec;velocities/q-rad_sec;velocities/r-rad_sec;velocities/vc-kts;velocities/vt-fps;velocities/h-dot-fps;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/rdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg;aero/beta-deg,4.0,1.0,0.18181818181818182,0.8194444444444445,
737,cruise,iforest,noop,,,,,,,,,,,,0.9545454545454546
737,throttle_step,sig_static,inertia_x1.6,0.045454545454545456,1.0,0.2,1.0,,1.0,velocities/q-rad_sec,0.0,,,,
737,throttle_step,sig_static,cmq_x0.5,0.3076923076923077,1.0,0.4,1.0,0.7435897435897436,4.0,velocities/u-fps;velocities/vc-kts;velocities/vt-fps;accelerations/wdot-ft_sec2,2.0,0.0,0.0,0.625,
737,throttle_step,sig_static,cmalpha_x0.7,0.3076923076923077,1.0,0.4,1.0,0.6068376068376069,4.0,velocities/u-fps;velocities/vc-kts;velocities/vt-fps;accelerations/wdot-ft_sec2,0.0,,,,
