aircraft,manoeuvre,fault,explainer,n_flagged,agreement,agreement_null_median,n_explained,correctness,correctness_largest_movement,correctness_only_changing,correctness_residual_importance,stability,n_with_trim_shift
737,engine_cut,inertia_x1.6,dynamic,0,,,0,,,,,,0
737,engine_cut,inertia_x1.6,static,0,,,0,,,,,,0
737,engine_cut,cmq_x0.5,dynamic,0,,,0,,,,,,0
737,engine_cut,cmq_x0.5,static,0,,,0,,,,,,0
737,engine_cut,cmalpha_x0.7,dynamic,0,,,0,,,,,,0
737,engine_cut,cmalpha_x0.7,static,0,,,0,,,,,,0
737,engine_cut,clo_+0.1,dynamic,7,0.5714285714285714,0.7142857142857143,7,1.0,1.0,1.0,1.0,0.8,7
737,engine_cut,clo_+0.1,static,7,0.42857142857142855,0.5714285714285714,7,0.0,1.0,1.0,,,7
737,climbing_turn,inertia_x1.6,dynamic,2,0.0,0.0,2,0.0,1.0,1.0,0.0,0.3,0
737,climbing_turn,inertia_x1.6,static,2,0.0,0.0,2,0.0,1.0,1.0,,,0
737,climbing_turn,cmq_x0.5,dynamic,1,0.0,0.0,1,1.0,1.0,1.0,1.0,0.0,0
737,climbing_turn,cmq_x0.5,static,1,0.0,0.0,1,1.0,1.0,1.0,,,0
737,climbing_turn,cmalpha_x0.7,dynamic,1,0.0,0.0,1,0.0,1.0,1.0,1.0,0.1,0
737,climbing_turn,cmalpha_x0.7,static,1,0.0,0.0,1,0.0,1.0,1.0,,,0
737,climbing_turn,clo_+0.1,dynamic,9,0.5555555555555556,0.7777777777777778,9,0.2222222222222222,1.0,1.0,0.2222222222222222,0.37777777777777777,9
737,climbing_turn,clo_+0.1,static,9,0.1111111111111111,0.3333333333333333,9,0.2222222222222222,1.0,1.0,,,9
737,elev_doublet_distractor,inertia_x1.6,dynamic,0,,,0,,,,,,0
737,elev_doublet_distractor,inertia_x1.6,static,0,,,0,,,,,,0
737,elev_doublet_distractor,cmq_x0.5,dynamic,0,,,0,,,,,,0
737,elev_doublet_distractor,cmq_x0.5,static,0,,,0,,,,,,0
737,elev_doublet_distractor,cmalpha_x0.7,dynamic,0,,,0,,,,,,0
737,elev_doublet_distractor,cmalpha_x0.7,static,0,,,0,,,,,,0
737,elev_doublet_distractor,clo_+0.1,dynamic,10,0.4,0.7,10,0.6,1.0,1.0,0.7,0.41,10
737,elev_doublet_distractor,clo_+0.1,static,10,0.5,0.8,10,0.5,1.0,1.0,,,10
737,engine_restart,inertia_x1.6,dynamic,1,0.0,1.0,1,0.0,1.0,1.0,0.0,0.3,0
737,engine_restart,inertia_x1.6,static,1,0.0,1.0,1,0.0,1.0,1.0,,,0
737,engine_restart,cmq_x0.5,dynamic,1,0.0,0.0,1,0.0,1.0,1.0,0.0,0.4,0
737,engine_restart,cmq_x0.5,static,1,0.0,0.0,1,0.0,1.0,1.0,,,0
737,engine_restart,cmalpha_x0.7,dynamic,3,0.0,1.0,3,1.0,1.0,1.0,1.0,0.7666666666666666,0
737,engine_restart,cmalpha_x0.7,static,3,0.0,0.3333333333333333,3,1.0,1.0,1.0,,,0
737,engine_restart,clo_+0.1,dynamic,17,0.47058823529411764,0.6470588235294118,17,0.6470588235294118,1.0,1.0,0.8235294117647058,0.8470588235294116,17
737,engine_restart,clo_+0.1,static,17,0.23529411764705882,0.29411764705882354,17,0.35294117647058826,1.0,1.0,,,17
787-8,throttle_step,inertia_x1.6,dynamic,1,0.0,1.0,1,1.0,1.0,1.0,0.0,1.0,0
787-8,throttle_step,inertia_x1.6,static,1,1.0,1.0,1,1.0,1.0,1.0,,,0
787-8,throttle_step,cmq_x0.5,dynamic,0,,,0,,,,,,0
787-8,throttle_step,cmq_x0.5,static,0,,,0,,,,,,0
787-8,throttle_step,cmalpha_x0.7,dynamic,6,0.6666666666666666,0.8333333333333334,6,1.0,1.0,1.0,0.8333333333333334,1.0,6
787-8,throttle_step,cmalpha_x0.7,static,6,0.16666666666666666,0.6666666666666666,6,1.0,1.0,1.0,,,6
787-8,throttle_step,clo_+0.1,dynamic,6,0.5,0.5,6,1.0,1.0,1.0,1.0,1.0,6
787-8,throttle_step,clo_+0.1,static,6,0.3333333333333333,0.3333333333333333,6,1.0,1.0,1.0,,,6
787-8,elev_doublet,inertia_x1.6,dynamic,1,1.0,1.0,1,1.0,1.0,1.0,1.0,0.6,0
787-8,elev_doublet,inertia_x1.6,static,1,1.0,1.0,1,1.0,1.0,1.0,,,0
787-8,elev_doublet,cmq_x0.5,dynamic,1,1.0,1.0,1,1.0,1.0,1.0,1.0,0.5,0
787-8,elev_doublet,cmq_x0.5,static,1,1.0,1.0,1,1.0,1.0,1.0,,,0
787-8,elev_doublet,cmalpha_x0.7,dynamic,7,0.0,0.42857142857142855,7,1.0,1.0,1.0,0.7142857142857143,0.4571428571428572,7
787-8,elev_doublet,cmalpha_x0.7,static,7,0.2857142857142857,0.7142857142857143,7,1.0,1.0,1.0,,,7
787-8,elev_doublet,clo_+0.1,dynamic,9,0.3333333333333333,0.6666666666666666,9,1.0,1.0,1.0,0.5555555555555556,0.7444444444444445,9
787-8,elev_doublet,clo_+0.1,static,9,0.3333333333333333,0.6666666666666666,9,1.0,1.0,1.0,,,9
787-8,elev_step,inertia_x1.6,dynamic,1,0.0,1.0,1,1.0,1.0,1.0,1.0,0.6,0
787-8,elev_step,inertia_x1.6,static,1,0.0,1.0,1,1.0,1.0,1.0,,,0
787-8,elev_step,cmq_x0.5,dynamic,0,,,0,,,,,,0
787-8,elev_step,cmq_x0.5,static,0,,,0,,,,,,0
787-8,elev_step,cmalpha_x0.7,dynamic,10,0.3,0.6,10,1.0,1.0,1.0,1.0,0.43,10
787-8,elev_step,cmalpha_x0.7,static,10,0.2,0.2,10,1.0,1.0,1.0,,,10
787-8,elev_step,clo_+0.1,dynamic,7,0.5714285714285714,0.7142857142857143,7,1.0,1.0,1.0,0.5714285714285714,0.42857142857142855,7
