fault,set,aircraft,test_case,output,p,es,rsd
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,attitude/theta-rad,0.5282943411317736,0.0,-0.0347814904375869
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,attitude/psi-rad,0.6958608278344331,0.0,-0.4814172420396931
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,velocities/u-fps,0.171365726854629,0.0,0.2299439972707
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,velocities/v-fps,0.6426714657068586,0.0,-0.024625676228241
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,velocities/w-fps,0.757248550289942,0.0,-0.0414447667114055
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,velocities/p-rad_sec,0.1949610077984403,0.0,0.0594304730046602
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,velocities/q-rad_sec,0.261747650469906,0.0,0.040985823590771
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,velocities/r-rad_sec,0.7276544691061788,0.0,-0.061081583804172
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,velocities/vc-kts,0.1421715656868626,0.0,0.021955310266271
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,velocities/vt-fps,0.2909418116376724,0.0,-0.0467637167135472
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,velocities/h-dot-fps,0.5730853829234153,0.0,-0.0215588283250938
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,accelerations/pdot-rad_sec2,0.3143371325734853,0.0,-0.0043002695064253
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,accelerations/qdot-rad_sec2,0.1817636472705459,0.0,0.1274477984789954
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,accelerations/rdot-rad_sec2,0.5138972205558888,0.0,-0.1258266916088939
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,accelerations/udot-ft_sec2,0.3047390521895621,0.0,-0.0111436254425492
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,accelerations/vdot-ft_sec2,0.7262547490501899,0.0,-0.0562564580275168
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,accelerations/wdot-ft_sec2,0.2057588482303539,0.0,0.0428585711684217
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,aero/alpha-deg,0.6652669466106779,0.0,-0.0116459104655493
B2_atmosphere_high_altitude_61f1e8c3,heldout,737,cruise,aero/beta-deg,0.3679264147170566,0.0,-0.0297298396890741
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,position/h-sl-ft,0.2147570485902819,0.0,0.2450795916809545
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,position/h-agl-ft,0.2117576484703059,0.0,0.2426838001786082
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,attitude/phi-rad,0.2563487302539492,0.0,0.1309580294402281
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,attitude/theta-rad,0.5282943411317736,0.0,-0.0347814904375869
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,attitude/psi-rad,0.6958608278344331,0.0,-0.4814172420396931
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,velocities/u-fps,0.171365726854629,0.0,0.2299439972707
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,velocities/v-fps,0.6426714657068586,0.0,-0.024625676228241
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,velocities/w-fps,0.757248550289942,0.0,-0.0414447667114055
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,velocities/p-rad_sec,0.1949610077984403,0.0,0.0594304730046602
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,velocities/q-rad_sec,0.261747650469906,0.0,0.040985823590771
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,velocities/r-rad_sec,0.7276544691061788,0.0,-0.061081583804172
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,velocities/vc-kts,0.1421715656868626,0.0,0.021955310266271
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,velocities/vt-fps,0.2909418116376724,0.0,-0.0467637167135472
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,velocities/h-dot-fps,0.5730853829234153,0.0,-0.0215588283250938
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,accelerations/pdot-rad_sec2,0.3143371325734853,0.0,-0.0043002695064253
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,accelerations/qdot-rad_sec2,0.1817636472705459,0.0,0.1274477984789954
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,accelerations/rdot-rad_sec2,0.5138972205558888,0.0,-0.1258266916088939
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,accelerations/udot-ft_sec2,0.3047390521895621,0.0,-0.0111436254425492
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,accelerations/vdot-ft_sec2,0.7262547490501899,0.0,-0.0562564580275168
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,accelerations/wdot-ft_sec2,0.2057588482303539,0.0,0.0428585711684217
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,aero/alpha-deg,0.6652669466106779,0.0,-0.0116459104655493
B2_load_factor_sign_c3fa7d22,heldout,737,cruise,aero/beta-deg,0.3679264147170566,0.0,-0.0297298396890741
B2_propeller_inflow_angle_82cc3893,heldout,737,cruise,position/h-sl-ft,0.2147570485902819,0.0,0.2450795916809545
B2_propeller_inflow_angle_82cc3893,heldout,737,cruise,position/h-agl-ft,0.2117576484703059,0.0,0.2426838001786082
B2_propeller_inflow_angle_82cc3893,heldout,737,cruise,attitude/phi-rad,0.2563487302539492,0.0,0.1309580294402281
B2_propeller_inflow_angle_82cc3893,heldout,737,cruise,attitude/theta-rad,0.5282943411317736,0.0,-0.0347814904375869
B2_propeller_inflow_angle_82cc3893,heldout,737,cruise,attitude/psi-rad,0.6958608278344331,0.0,-0.4814172420396931
