fault,aircraft,test_case,changed_exec_lines,executed,max_count,reach
B_piston_power_bcd3f980,737,flap_extend,3,0,0,False
B_turbine_windmill_2db8e408,737,flap_extend,2,2,2,True
B2_turbine_throttle_init_c8af9244,737,flap_extend,1,1,2,True
B2_turbine_thruster_inputs_20066483,737,flap_extend,1,1,17372,True
B2_wheel_spin_down_8a9fba1c,737,flap_extend,4,4,15429,True
B2_sensor_fail_stuck_f543d634,737,flap_extend,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,737,flap_extend,5,0,0,False
B2_load_factor_sign_c3fa7d22,737,flap_extend,1,1,1,True
B2_propeller_inflow_angle_82cc3893,737,flap_extend,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,737,flap_extend,3,3,10311,True
B_pqrdot_5ad2694c,737,engine_cut,5,1,5151,True
B_piston_power_bcd3f980,737,engine_cut,3,0,0,False
B_turbine_windmill_2db8e408,737,engine_cut,2,2,2,True
B2_turbine_throttle_init_c8af9244,737,engine_cut,1,1,2,True
B2_turbine_thruster_inputs_20066483,737,engine_cut,1,1,17877,True
B2_wheel_spin_down_8a9fba1c,737,engine_cut,4,4,15453,True
B2_sensor_fail_stuck_f543d634,737,engine_cut,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,737,engine_cut,5,0,0,False
B2_load_factor_sign_c3fa7d22,737,engine_cut,1,1,1,True
B2_propeller_inflow_angle_82cc3893,737,engine_cut,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,737,engine_cut,3,3,10327,True
B_pqrdot_5ad2694c,737,climbing_turn,5,1,5751,True
B_piston_power_bcd3f980,737,climbing_turn,3,0,0,False
B_turbine_windmill_2db8e408,737,climbing_turn,2,2,2,True
B2_turbine_throttle_init_c8af9244,737,climbing_turn,1,1,2,True
B2_turbine_thruster_inputs_20066483,737,climbing_turn,1,1,19075,True
B2_wheel_spin_down_8a9fba1c,737,climbing_turn,4,4,17253,True
B2_sensor_fail_stuck_f543d634,737,climbing_turn,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,737,climbing_turn,5,0,0,False
B2_load_factor_sign_c3fa7d22,737,climbing_turn,1,1,1,True
B2_propeller_inflow_angle_82cc3893,737,climbing_turn,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,737,climbing_turn,3,3,11527,True
B_pqrdot_5ad2694c,737,elev_doublet_distractor,5,1,5143,True
B_piston_power_bcd3f980,737,elev_doublet_distractor,3,0,0,False
B_turbine_windmill_2db8e408,737,elev_doublet_distractor,2,2,2,True
B2_turbine_throttle_init_c8af9244,737,elev_doublet_distractor,1,1,2,True
B2_turbine_thruster_inputs_20066483,737,elev_doublet_distractor,1,1,17372,True
B2_wheel_spin_down_8a9fba1c,737,elev_doublet_distractor,4,4,15429,True
B2_sensor_fail_stuck_f543d634,737,elev_doublet_distractor,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,737,elev_doublet_distractor,5,0,0,False
B2_load_factor_sign_c3fa7d22,737,elev_doublet_distractor,1,1,1,True
B2_propeller_inflow_angle_82cc3893,737,elev_doublet_distractor,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,737,elev_doublet_distractor,3,3,10311,True
B_pqrdot_5ad2694c,737,engine_restart,5,1,7551,True
B_piston_power_bcd3f980,737,engine_restart,3,0,0,False
B_turbine_windmill_2db8e408,737,engine_restart,2,2,2139,True
B2_turbine_throttle_init_c8af9244,737,engine_restart,1,1,2,True
B2_turbine_thruster_inputs_20066483,737,engine_restart,1,1,22677,True
B2_wheel_spin_down_8a9fba1c,737,engine_restart,4,4,22653,True
B2_sensor_fail_stuck_f543d634,737,engine_restart,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,737,engine_restart,5,0,0,False
