aircraft,manoeuvre,fault,n_flag,base_vsd,es_max,n_gated,phys_R/P,phys_cat,phys_auc,gated_R/P,false_alarm,gated_cat,gated_auc
c172r,elev_doublet,clo_+0.1,1,0.767,1.43,1.0,0.08/1.00,0.20/1.00,0.48,0.00/0.00,,0.00/0.00,0.0
c172r,elev_doublet,noop,1,0.767,,,,,,,0.05,,
c172r,elev_step,inertia_x1.6,3,0.788,1.04,1.0,0.14/1.00,0.40/1.00,,0.00/0.00,,1.00/0.50,0.62
c172r,elev_step,cmq_x0.5,2,0.788,0.27,0.0,0.08/0.50,0.20/1.00,0.54,-,,,
c172r,elev_step,cmalpha_x0.7,2,0.788,0.81,0.0,0.08/0.50,0.40/1.00,0.69,-,,,
c172r,elev_step,clo_+0.1,0,0.788,1.39,1.0,0.00/0.00,0.00/0.00,0.64,0.00/0.00,,0.00/0.00,0.0
c172r,elev_step,noop,3,0.788,,,,,,,0.14,,
c172r,aileron_step,inertia_x1.6,3,0.751,0.99,0.0,0.14/1.00,0.40/1.00,,-,,,
c172r,aileron_step,cmq_x0.5,4,0.751,0.34,0.0,0.23/0.75,0.80/1.00,0.5,-,,,
c172r,aileron_step,cmalpha_x0.7,4,0.751,0.85,0.0,0.23/0.75,0.40/1.00,0.65,-,,,
c172r,aileron_step,clo_+0.1,3,0.751,1.86,1.0,0.08/0.33,0.40/1.00,0.58,0.00/0.00,,0.00/0.00,0.0
c172r,aileron_step,noop,3,0.751,,,,,,,0.14,,
c172r,rudder_doublet,inertia_x1.6,1,0.776,1.02,1.0,0.05/1.00,0.20/1.00,,0.00/0.00,,0.00/0.00,0.71
c172r,rudder_doublet,cmq_x0.5,1,0.776,0.19,0.0,0.00/0.00,0.20/1.00,0.85,-,,,
c172r,rudder_doublet,cmalpha_x0.7,1,0.776,0.62,0.0,0.08/1.00,0.20/1.00,0.67,-,,,
c172r,rudder_doublet,clo_+0.1,2,0.776,1.55,1.0,0.15/1.00,0.20/1.00,0.73,0.00/0.00,,0.00/0.00,0.0
c172r,rudder_doublet,noop,0,0.776,,,,,,,0.0,,
c172r,bank_hold,inertia_x1.6,0,0.776,1.13,9.0,0.00/0.00,0.00/0.00,,0.00/0.00,,0.00/0.00,0.68
c172r,bank_hold,cmq_x0.5,0,0.776,0.24,0.0,0.00/0.00,0.00/0.00,0.36,-,,,
c172r,bank_hold,cmalpha_x0.7,1,0.776,0.64,0.0,0.08/1.00,0.20/1.00,0.54,-,,,
c172r,bank_hold,clo_+0.1,4,0.776,1.77,1.0,0.31/1.00,0.40/1.00,0.65,0.00/0.00,,0.00/0.00,0.0
c172r,bank_hold,noop,0,0.776,,,,,,,0.0,,
c172r,flap_extend,inertia_x1.6,3,0.768,0.88,0.0,0.14/1.00,0.20/1.00,,-,,,
c172r,flap_extend,cmq_x0.5,3,0.768,0.27,0.0,0.23/1.00,0.20/1.00,0.56,-,,,
c172r,flap_extend,cmalpha_x0.7,7,0.768,3.24,9.0,0.38/0.71,0.60/1.00,0.61,0.33/0.43,,0.60/1.00,0.59
c172r,flap_extend,clo_+0.1,3,0.768,1.36,1.0,0.23/1.00,0.40/1.00,0.61,0.00/0.00,,0.00/0.00,0.0
c172r,flap_extend,noop,2,0.768,,,,,,,0.09,,
c172r,climbing_turn,inertia_x1.6,1,0.711,1.21,1.0,0.05/1.00,0.20/1.00,,0.00/0.00,,0.00/0.00,0.67
c172r,climbing_turn,cmq_x0.5,1,0.711,0.28,0.0,0.08/1.00,0.20/1.00,0.55,-,,,
c172r,climbing_turn,cmalpha_x0.7,1,0.711,0.94,0.0,0.08/1.00,0.20/1.00,0.38,-,,,
c172r,climbing_turn,clo_+0.1,7,0.711,1.8,3.0,0.46/0.86,0.60/1.00,0.62,0.00/0.00,,0.33/0.33,0.3
c172r,climbing_turn,noop,0,0.711,,,,,,,0.0,,
c172r,elev_doublet_distractor,inertia_x1.6,3,0.774,0.99,0.0,0.14/1.00,0.60/1.00,,-,,,
c172r,elev_doublet_distractor,cmq_x0.5,2,0.774,0.21,0.0,0.08/0.50,0.40/1.00,0.56,-,,,
c172r,elev_doublet_distractor,cmalpha_x0.7,5,0.774,0.68,0.0,0.38/1.00,0.60/1.00,0.78,-,,,
c172r,elev_doublet_distractor,clo_+0.1,4,0.774,1.5,1.0,0.31/1.00,0.20/1.00,0.7,0.00/0.00,,0.00/0.00,0.0
c172r,elev_doublet_distractor,noop,5,0.774,,,,,,,0.23,,
c172r,engine_stop,inertia_x1.6,5,0.777,0.92,0.0,0.23/1.00,0.80/1.00,,-,,,
c172r,engine_stop,cmq_x0.5,1,0.777,0.27,0.0,0.08/1.00,0.20/1.00,0.45,-,,,
c172r,engine_stop,cmalpha_x0.7,4,0.777,0.83,0.0,0.23/0.75,0.40/1.00,0.37,-,,,
c172r,engine_stop,clo_+0.1,3,0.777,1.68,1.0,0.23/1.00,0.20/1.00,0.43,0.00/0.00,,0.00/0.00,0.0
c172r,engine_stop,noop,2,0.777,,,,,,,0.09,,
c182,cruise,inertia_x1.6,1,0.781,0.9,0.0,0.05/1.00,0.20/1.00,,-,,,
c182,cruise,cmq_x0.5,1,0.781,0.88,0.0,0.08/1.00,0.20/1.00,0.92,-,,,
c182,cruise,cmalpha_x0.7,4,0.781,0.52,0.0,0.23/0.75,0.40/1.00,0.84,-,,,
c182,cruise,clo_+0.1,1,0.781,1.35,1.0,0.08/1.00,0.20/1.00,0.6,1.00/1.00,,1.00/1.00,1.0
c182,cruise,noop,2,0.781,,,,,,,0.09,,
c182,throttle_step,inertia_x1.6,0,0.76,1.02,2.0,0.00/0.00,0.00/0.00,,0.00/0.00,,0.00/0.00,0.55
c182,throttle_step,cmq_x0.5,2,0.76,0.74,0.0,0.00/0.00,0.40/1.00,0.68,-,,,
c182,throttle_step,cmalpha_x0.7,0,0.76,0.83,0.0,0.00/0.00,0.00/0.00,0.59,-,,,
c182,throttle_step,clo_+0.1,3,0.76,1.35,1.0,0.08/0.33,0.20/1.00,0.47,0.00/0.00,,0.00/0.00,0.0
c182,throttle_step,noop,0,0.76,,,,,,,0.0,,
c182,elev_doublet,inertia_x1.6,1,0.784,1.32,5.0,0.05/1.00,0.20/1.00,,0.00/0.00,,0.33/1.00,0.68
c182,elev_doublet,cmq_x0.5,2,0.784,0.84,0.0,0.15/1.00,0.20/1.00,0.63,-,,,
c182,elev_doublet,cmalpha_x0.7,1,0.784,0.95,0.0,0.08/1.00,0.20/1.00,0.53,-,,,
c182,elev_doublet,clo_+0.1,4,0.784,1.46,3.0,0.23/0.75,0.60/1.00,0.64,0.00/0.00,,0.67/0.67,0.39
c182,elev_doublet,noop,3,0.784,,,,,,,0.14,,
c182,elev_step,inertia_x1.6,0,0.77,0.9,0.0,0.00/0.00,0.00/0.00,,-,,,
c182,elev_step,cmq_x0.5,1,0.77,0.91,0.0,0.08/1.00,0.20/1.00,0.25,-,,,
c182,elev_step,cmalpha_x0.7,1,0.77,0.8,0.0,0.00/0.00,0.20/1.00,0.52,-,,,
c182,elev_step,clo_+0.1,1,0.77,1.31,1.0,0.08/1.00,0.20/1.00,0.39,0.00/0.00,,0.00/0.00,0.0
c182,elev_step,noop,1,0.77,,,,,,,0.05,,
c182,aileron_step,inertia_x1.6,2,0.782,1.04,1.0,0.09/1.00,0.20/1.00,,0.00/0.00,,0.00/0.00,0.9
c182,aileron_step,cmq_x0.5,0,0.782,1.12,0.0,0.00/0.00,0.00/0.00,0.34,-,,,
c182,aileron_step,cmalpha_x0.7,0,0.782,1.01,0.0,0.00/0.00,0.00/0.00,0.47,-,,,
c182,aileron_step,clo_+0.1,4,0.782,1.31,1.0,0.23/0.75,0.40/1.00,0.68,0.00/0.00,,0.00/0.00,0.0
c182,aileron_step,noop,0,0.782,,,,,,,0.0,,
c182,rudder_doublet,inertia_x1.6,0,0.77,0.87,0.0,0.00/0.00,0.00/0.00,,-,,,
c182,rudder_doublet,cmq_x0.5,1,0.77,0.73,0.0,0.08/1.00,0.20/1.00,0.78,-,,,
c182,rudder_doublet,cmalpha_x0.7,1,0.77,1.13,0.0,0.00/0.00,0.20/1.00,0.67,-,,,
c182,rudder_doublet,clo_+0.1,1,0.77,1.41,1.0,0.08/1.00,0.20/1.00,0.56,1.00/1.00,,1.00/1.00,0.9
c182,rudder_doublet,noop,0,0.77,,,,,,,0.0,,
c182,bank_hold,inertia_x1.6,0,0.788,0.77,0.0,0.00/0.00,0.00/0.00,,-,,,
c182,bank_hold,cmq_x0.5,0,0.788,0.5,0.0,0.00/0.00,0.00/0.00,0.44,-,,,
c182,bank_hold,cmalpha_x0.7,0,0.788,0.63,0.0,0.00/0.00,0.00/0.00,0.74,-,,,
c182,bank_hold,clo_+0.1,4,0.788,1.38,1.0,0.15/0.50,0.60/1.00,0.49,0.00/0.00,,1.00/0.33,0.0
c182,bank_hold,noop,2,0.788,,,,,,,0.09,,
c182,climbing_turn,inertia_x1.6,1,0.715,1.0,0.0,0.05/1.00,0.20/1.00,,-,,,
c182,climbing_turn,cmq_x0.5,0,0.715,0.8,0.0,0.00/0.00,0.00/0.00,0.39,-,,,
c182,climbing_turn,cmalpha_x0.7,2,0.715,0.74,0.0,0.15/1.00,0.40/1.00,0.72,-,,,
c182,climbing_turn,clo_+0.1,7,0.715,1.29,1.0,0.38/0.71,0.60/1.00,0.69,0.00/0.00,,1.00/0.33,0.1
c182,climbing_turn,noop,0,0.715,,,,,,,0.0,,
c182,elev_doublet_distractor,inertia_x1.6,0,0.765,0.93,0.0,0.00/0.00,0.00/0.00,,-,,,
c182,elev_doublet_distractor,cmq_x0.5,1,0.765,0.88,0.0,0.00/0.00,0.20/1.00,0.54,-,,,
c182,elev_doublet_distractor,cmalpha_x0.7,2,0.765,0.82,0.0,0.15/1.00,0.20/1.00,0.93,-,,,
c182,elev_doublet_distractor,clo_+0.1,1,0.765,1.35,1.0,0.08/1.00,0.20/1.00,0.78,0.00/0.00,,0.00/0.00,0.0
c182,elev_doublet_distractor,noop,4,0.765,,,,,,,0.18,,
c182,engine_stop,inertia_x1.6,1,0.789,0.85,0.0,0.05/1.00,0.20/1.00,,-,,,
c182,engine_stop,cmq_x0.5,0,0.789,1.07,3.0,0.00/0.00,0.00/0.00,0.79,0.00/0.00,,0.00/0.00,0.81
c182,engine_stop,cmalpha_x0.7,0,0.789,1.14,3.0,0.00/0.00,0.00/0.00,0.4,0.00/0.00,,0.00/0.00,0.04
c182,engine_stop,clo_+0.1,6,0.789,1.58,7.0,0.38/0.83,0.40/1.00,0.81,0.57/0.67,,0.50/1.00,0.78
c182,engine_stop,noop,1,0.789,,,,,,,0.05,,
c310,cruise,inertia_x1.6,0,0.794,0.7,0.0,0.00/0.00,0.00/0.00,,-,,,
c310,cruise,cmq_x0.5,1,0.794,0.93,0.0,0.08/1.00,0.20/1.00,0.62,-,,,
c310,cruise,cmalpha_x0.7,1,0.794,0.96,0.0,0.08/1.00,0.20/1.00,0.5,-,,,
c310,cruise,clo_+0.1,3,0.794,0.8,0.0,0.23/1.00,0.40/1.00,0.62,-,,,
c310,cruise,noop,0,0.794,,,,,,,0.0,,
c310,throttle_step,inertia_x1.6,0,0.732,0.65,0.0,0.00/0.00,0.00/0.00,,-,,,
c310,throttle_step,cmq_x0.5,0,0.732,1.14,3.0,0.00/0.00,0.00/0.00,0.77,0.00/0.00,,0.00/0.00,0.47
c310,throttle_step,cmalpha_x0.7,4,0.732,1.16,5.0,0.15/0.50,0.40/1.00,0.68,0.20/0.25,,0.50/0.50,0.78
c310,throttle_step,clo_+0.1,5,0.732,1.11,2.0,0.31/0.80,0.60/1.00,0.79,0.00/0.00,,0.50/0.33,0.57
c310,throttle_step,noop,2,0.732,,,,,,,0.09,,
c310,elev_doublet,inertia_x1.6,1,0.792,1.01,3.0,0.05/1.00,0.20/1.00,,0.00/0.00,,0.00/0.00,0.56
c310,elev_doublet,cmq_x0.5,1,0.792,1.5,7.0,0.08/1.00,0.20/1.00,0.36,0.00/0.00,,0.33/1.00,0.45
c310,elev_doublet,cmalpha_x0.7,0,0.792,0.81,0.0,0.00/0.00,0.00/0.00,0.5,-,,,
c310,elev_doublet,clo_+0.1,1,0.792,1.28,7.0,0.08/1.00,0.20/1.00,0.63,0.00/0.00,,0.25/1.00,0.54
c310,elev_doublet,noop,0,0.792,,,,,,,0.0,,
c310,elev_step,inertia_x1.6,0,0.788,0.84,0.0,0.00/0.00,0.00/0.00,,-,,,
c310,elev_step,cmq_x0.5,0,0.788,1.15,3.0,0.00/0.00,0.00/0.00,0.58,0.00/0.00,,0.00/0.00,0.72
c310,elev_step,cmalpha_x0.7,0,0.788,0.84,0.0,0.00/0.00,0.00/0.00,0.45,-,,,
c310,elev_step,clo_+0.1,2,0.788,0.72,0.0,0.15/1.00,0.40/1.00,0.5,-,,,
c310,elev_step,noop,1,0.788,,,,,,,0.05,,
c310,aileron_step,inertia_x1.6,2,0.756,0.95,0.0,0.09/1.00,0.40/1.00,,-,,,
c310,aileron_step,cmq_x0.5,3,0.756,0.82,0.0,0.23/1.00,0.60/1.00,0.81,-,,,
c310,aileron_step,cmalpha_x0.7,4,0.756,0.75,0.0,0.31/1.00,0.40/1.00,0.72,-,,,
c310,aileron_step,clo_+0.1,3,0.756,0.98,0.0,0.23/1.00,0.40/1.00,0.77,-,,,
c310,aileron_step,noop,1,0.756,,,,,,,0.05,,
c310,rudder_doublet,inertia_x1.6,0,0.799,0.55,0.0,0.00/0.00,0.00/0.00,,-,,,
c310,rudder_doublet,cmq_x0.5,0,0.799,0.91,0.0,0.00/0.00,0.00/0.00,0.51,-,,,
c310,rudder_doublet,cmalpha_x0.7,0,0.799,0.78,0.0,0.00/0.00,0.00/0.00,0.62,-,,,
c310,rudder_doublet,clo_+0.1,2,0.799,1.02,1.0,0.15/1.00,0.40/1.00,0.72,0.00/0.00,,0.00/0.00,0.0
c310,rudder_doublet,noop,0,0.799,,,,,,,0.0,,
c310,bank_hold,inertia_x1.6,6,0.773,0.53,0.0,0.27/1.00,0.60/1.00,,-,,,
c310,bank_hold,cmq_x0.5,4,0.773,0.98,0.0,0.23/0.75,0.40/1.00,0.82,-,,,
c310,bank_hold,cmalpha_x0.7,2,0.773,0.91,0.0,0.08/0.50,0.20/1.00,0.56,-,,,
c310,bank_hold,clo_+0.1,2,0.773,0.89,0.0,0.08/0.50,0.40/1.00,0.63,-,,,
c310,bank_hold,noop,5,0.773,,,,,,,0.23,,
c310,flap_extend,inertia_x1.6,2,0.762,0.84,0.0,0.09/1.00,0.40/1.00,,-,,,
c310,flap_extend,cmq_x0.5,2,0.762,1.16,2.0,0.15/1.00,0.40/1.00,0.58,0.00/0.00,,0.50/0.50,0.3
c310,flap_extend,cmalpha_x0.7,3,0.762,1.78,9.0,0.23/1.00,0.60/1.00,0.46,0.22/0.67,,0.60/1.00,0.54
c310,flap_extend,clo_+0.1,2,0.762,1.06,0.0,0.15/1.00,0.20/1.00,0.59,-,,,
c310,flap_extend,noop,1,0.762,,,,,,,0.05,,
c310,engine_cut,inertia_x1.6,0,0.8,1.11,8.0,0.00/0.00,0.00/0.00,,0.00/0.00,,0.00/0.00,0.46
c310,engine_cut,cmq_x0.5,1,0.8,1.12,5.0,0.08/1.00,0.20/1.00,0.35,0.00/0.00,,0.00/0.00,0.26
c310,engine_cut,cmalpha_x0.7,1,0.8,1.02,1.0,0.08/1.00,0.20/1.00,0.23,0.00/0.00,,1.00/1.00,0.05
c310,engine_cut,clo_+0.1,3,0.8,1.06,0.0,0.08/0.33,0.20/1.00,0.57,-,,,
c310,engine_cut,noop,1,0.8,,,,,,,0.05,,
c310,climbing_turn,inertia_x1.6,0,0.687,0.81,0.0,0.00/0.00,0.00/0.00,,-,,,
c310,climbing_turn,cmq_x0.5,4,0.687,2.02,8.0,0.31/1.00,0.60/1.00,0.79,0.25/0.50,,0.50/0.67,0.67
c310,climbing_turn,cmalpha_x0.7,0,0.687,1.48,7.0,0.00/0.00,0.00/0.00,0.58,0.00/0.00,,0.00/0.00,0.33
c310,climbing_turn,clo_+0.1,10,0.687,1.14,1.0,0.46/0.60,0.80/1.00,0.6,0.00/0.00,,1.00/0.25,0.0
c310,climbing_turn,noop,1,0.687,,,,,,,0.05,,
c310,elev_doublet_distractor,inertia_x1.6,1,0.798,0.45,0.0,0.05/1.00,0.20/1.00,,-,,,
c310,elev_doublet_distractor,cmq_x0.5,2,0.798,0.89,0.0,0.15/1.00,0.40/1.00,0.65,-,,,
c310,elev_doublet_distractor,cmalpha_x0.7,1,0.798,1.09,3.0,0.08/1.00,0.20/1.00,0.71,0.00/0.00,,0.00/0.00,0.3
c310,elev_doublet_distractor,clo_+0.1,3,0.798,1.15,7.0,0.15/0.67,0.40/1.00,0.55,0.00/0.00,,0.50/1.00,0.22
c310,elev_doublet_distractor,noop,1,0.798,,,,,,,0.05,,
c310,engine_stop,inertia_x1.6,0,0.803,0.59,0.0,0.00/0.00,0.00/0.00,,-,,,
c310,engine_stop,cmq_x0.5,0,0.803,0.78,0.0,0.00/0.00,0.00/0.00,0.28,-,,,
c310,engine_stop,cmalpha_x0.7,1,0.803,1.03,2.0,0.08/1.00,0.20/1.00,0.63,0.00/0.00,,0.00/0.00,0.95
c310,engine_stop,clo_+0.1,1,0.803,0.81,0.0,0.08/1.00,0.20/1.00,0.55,-,,,
c310,engine_stop,noop,0,0.803,,,,,,,0.0,,
pa28,cruise,inertia_x1.6,4,0.777,1.51,2.0,0.18/1.00,0.60/1.00,,1.00/0.50,,1.00/0.67,0.87
pa28,cruise,cmq_x0.5,2,0.777,0.68,0.0,0.15/1.00,0.40/1.00,0.35,-,,,
pa28,cruise,cmalpha_x0.7,1,0.777,0.61,0.0,0.08/1.00,0.20/1.00,0.62,-,,,
pa28,cruise,clo_+0.1,4,0.777,1.66,1.0,0.31/1.00,0.60/1.00,0.7,1.00/0.25,,1.00/0.33,1.0
pa28,cruise,noop,1,0.777,,,,,,,0.05,,
pa28,throttle_step,inertia_x1.6,0,0.796,1.51,2.0,0.00/0.00,0.00/0.00,,0.00/0.00,,0.00/0.00,0.67
pa28,throttle_step,cmq_x0.5,0,0.796,0.65,0.0,0.00/0.00,0.00/0.00,0.39,-,,,
pa28,throttle_step,cmalpha_x0.7,3,0.796,1.08,0.0,0.15/0.67,0.60/1.00,0.57,-,,,
pa28,throttle_step,clo_+0.1,4,0.796,1.59,1.0,0.00/0.00,0.60/1.00,0.07,0.00/0.00,,0.00/0.00,0.0
pa28,throttle_step,noop,0,0.796,,,,,,,0.0,,
pa28,elev_doublet,inertia_x1.6,5,0.778,1.7,3.0,0.23/1.00,0.80/1.00,,0.67/0.40,,1.00/0.50,0.67
pa28,elev_doublet,cmq_x0.5,4,0.778,1.13,1.0,0.31/1.00,0.60/1.00,0.73,0.00/0.00,,1.00/0.33,0.29
pa28,elev_doublet,cmalpha_x0.7,1,0.778,0.68,0.0,0.00/0.00,0.20/1.00,0.33,-,,,
pa28,elev_doublet,clo_+0.1,2,0.778,1.73,1.0,0.08/0.50,0.40/1.00,0.47,0.00/0.00,,0.00/0.00,0.0
pa28,elev_doublet,noop,3,0.778,,,,,,,0.14,,
pa28,elev_step,inertia_x1.6,2,0.776,1.61,2.0,0.09/1.00,0.40/1.00,,0.50/0.50,,1.00/1.00,0.92
pa28,elev_step,cmq_x0.5,2,0.776,0.52,0.0,0.15/1.00,0.40/1.00,0.4,-,,,
pa28,elev_step,cmalpha_x0.7,3,0.776,0.81,0.0,0.23/1.00,0.40/1.00,0.44,-,,,
pa28,elev_step,clo_+0.1,4,0.776,1.68,1.0,0.15/0.50,0.40/1.00,0.58,0.00/0.00,,0.00/0.00,0.0
pa28,elev_step,noop,2,0.776,,,,,,,0.09,,
pa28,aileron_step,inertia_x1.6,2,0.773,1.22,2.0,0.09/1.00,0.40/1.00,,0.50/0.50,,1.00/1.00,0.53
pa28,aileron_step,cmq_x0.5,2,0.773,0.56,0.0,0.15/1.00,0.20/1.00,0.5,-,,,
pa28,aileron_step,cmalpha_x0.7,1,0.773,0.6,0.0,0.08/1.00,0.20/1.00,0.63,-,,,
pa28,aileron_step,clo_+0.1,4,0.773,1.71,1.0,0.23/0.75,0.60/1.00,0.76,1.00/0.25,,1.00/0.33,1.0
pa28,aileron_step,noop,2,0.773,,,,,,,0.09,,
pa28,rudder_doublet,inertia_x1.6,1,0.787,1.66,2.0,0.05/1.00,0.20/1.00,,0.00/0.00,,0.00/0.00,0.12
pa28,rudder_doublet,cmq_x0.5,0,0.787,0.58,0.0,0.00/0.00,0.00/0.00,0.66,-,,,
pa28,rudder_doublet,cmalpha_x0.7,1,0.787,0.5,0.0,0.00/0.00,0.20/1.00,0.77,-,,,
pa28,rudder_doublet,clo_+0.1,1,0.787,1.74,1.0,0.08/1.00,0.20/1.00,0.44,0.00/0.00,,0.00/0.00,0.0
pa28,rudder_doublet,noop,2,0.787,,,,,,,0.09,,
pa28,bank_hold,inertia_x1.6,5,0.754,1.52,3.0,0.23/1.00,0.60/1.00,,0.33/0.20,,0.50/0.33,0.61
pa28,bank_hold,cmq_x0.5,1,0.754,1.01,0.0,0.08/1.00,0.20/1.00,0.6,-,,,
pa28,bank_hold,cmalpha_x0.7,6,0.754,1.08,0.0,0.38/0.83,0.40/1.00,0.78,-,,,
pa28,bank_hold,clo_+0.1,6,0.754,1.63,1.0,0.31/0.67,0.60/1.00,0.72,0.00/0.00,,0.00/0.00,0.0
pa28,bank_hold,noop,1,0.754,,,,,,,0.05,,
pa28,flap_extend,inertia_x1.6,4,0.731,1.7,3.0,0.18/1.00,0.60/1.00,,0.33/0.25,,1.00/0.67,0.54
pa28,flap_extend,cmq_x0.5,1,0.731,0.63,0.0,0.00/0.00,0.20/1.00,0.44,-,,,
pa28,flap_extend,cmalpha_x0.7,10,0.731,2.85,8.0,0.69/0.90,1.00/1.00,0.75,1.00/0.80,,1.00/0.80,0.89
pa28,flap_extend,clo_+0.1,0,0.731,2.07,1.0,0.00/0.00,0.00/0.00,0.45,0.00/0.00,,0.00/0.00,0.0
pa28,flap_extend,noop,1,0.731,,,,,,,0.05,,
pa28,climbing_turn,inertia_x1.6,2,0.734,1.37,2.0,0.09/1.00,0.40/1.00,,1.00/1.00,,1.00/1.00,1.0
pa28,climbing_turn,cmq_x0.5,1,0.734,0.76,0.0,0.00/0.00,0.20/1.00,0.34,-,,,
pa28,climbing_turn,cmalpha_x0.7,2,0.734,0.62,0.0,0.00/0.00,0.20/1.00,0.37,-,,,
pa28,climbing_turn,clo_+0.1,6,0.734,1.57,1.0,0.08/0.17,0.60/1.00,0.39,0.00/0.00,,0.00/0.00,0.0
pa28,climbing_turn,noop,0,0.734,,,,,,,0.0,,
pa28,elev_doublet_distractor,inertia_x1.6,1,0.768,1.56,3.0,0.05/1.00,0.20/1.00,,0.33/1.00,,0.50/1.00,0.77
pa28,elev_doublet_distractor,cmq_x0.5,1,0.768,1.19,1.0,0.08/1.00,0.20/1.00,0.56,0.00/0.00,,1.00/1.00,0.62
pa28,elev_doublet_distractor,cmalpha_x0.7,4,0.768,0.86,0.0,0.31/1.00,0.60/1.00,0.58,-,,,
pa28,elev_doublet_distractor,clo_+0.1,5,0.768,1.59,1.0,0.15/0.40,0.60/1.00,0.56,0.00/0.00,,0.00/0.00,0.0
pa28,elev_doublet_distractor,noop,2,0.768,,,,,,,0.09,,
pa28,engine_stop,inertia_x1.6,1,0.782,1.59,3.0,0.05/1.00,0.20/1.00,,0.33/1.00,,0.33/1.00,0.56
pa28,engine_stop,cmq_x0.5,1,0.782,0.96,0.0,0.08/1.00,0.20/1.00,0.64,-,,,
pa28,engine_stop,cmalpha_x0.7,0,0.782,1.05,1.0,0.00/0.00,0.00/0.00,0.54,0.00/0.00,,0.00/0.00,0.0
pa28,engine_stop,clo_+0.1,5,0.782,2.01,7.0,0.23/0.60,0.60/1.00,0.47,0.14/0.20,,0.50/0.67,0.3
pa28,engine_stop,noop,0,0.782,,,,,,,0.0,,
