aircraft,manoeuvre,fault,n_flag,base_vsd,es_max,n_gated,phys_R/P,phys_cat,phys_auc,gated_R/P,false_alarm,gated_cat,gated_auc
Boeing314,rudder_doublet,cmalpha_x0.7,1,0.758,0.57,0.0,0.08/1.00,0.20/1.00,0.78,-,,,
Boeing314,rudder_doublet,clo_+0.1,1,0.758,0.98,0.0,0.08/1.00,0.20/1.00,0.4,-,,,
Boeing314,rudder_doublet,noop,0,0.758,,,,,,,0.0,,
Boeing314,bank_hold,inertia_x1.6,4,0.767,0.4,0.0,0.18/1.00,0.40/1.00,,-,,,
Boeing314,bank_hold,cmq_x0.5,3,0.767,0.88,0.0,0.23/1.00,0.40/1.00,0.79,-,,,
Boeing314,bank_hold,cmalpha_x0.7,5,0.767,0.39,0.0,0.31/0.80,0.20/1.00,0.72,-,,,
Boeing314,bank_hold,clo_+0.1,1,0.767,0.91,0.0,0.08/1.00,0.20/1.00,0.6,-,,,
Boeing314,bank_hold,noop,2,0.767,,,,,,,0.09,,
Boeing314,flap_extend,inertia_x1.6,2,0.748,1.39,1.0,0.09/1.00,0.40/1.00,,0.00/0.00,,0.00/0.00,1.0
Boeing314,flap_extend,cmq_x0.5,3,0.748,1.42,4.0,0.23/1.00,0.60/1.00,0.5,0.25/0.33,,1.00/1.00,0.65
Boeing314,flap_extend,cmalpha_x0.7,1,0.748,1.37,0.0,0.08/1.00,0.20/1.00,0.38,-,,,
Boeing314,flap_extend,clo_+0.1,3,0.748,1.26,0.0,0.23/1.00,0.20/1.00,0.66,-,,,
Boeing314,flap_extend,noop,1,0.748,,,,,,,0.05,,
Boeing314,engine_cut,inertia_x1.6,0,0.794,0.54,0.0,0.00/0.00,0.00/0.00,,-,,,
Boeing314,engine_cut,cmq_x0.5,0,0.794,1.26,0.0,0.00/0.00,0.00/0.00,0.37,-,,,
Boeing314,engine_cut,cmalpha_x0.7,0,0.794,0.7,0.0,0.00/0.00,0.00/0.00,0.65,-,,,
Boeing314,engine_cut,clo_+0.1,1,0.794,0.94,0.0,0.08/1.00,0.20/1.00,0.6,-,,,
Boeing314,engine_cut,noop,2,0.794,,,,,,,0.09,,
Boeing314,climbing_turn,inertia_x1.6,2,0.683,0.6,0.0,0.09/1.00,0.40/1.00,,-,,,
Boeing314,climbing_turn,cmq_x0.5,1,0.683,2.1,7.0,0.00/0.00,0.20/1.00,0.55,0.00/0.00,,0.00/0.00,0.39
Boeing314,climbing_turn,cmalpha_x0.7,1,0.683,0.75,0.0,0.00/0.00,0.20/1.00,0.52,-,,,
Boeing314,climbing_turn,clo_+0.1,2,0.683,0.97,0.0,0.00/0.00,0.40/1.00,0.53,-,,,
Boeing314,climbing_turn,noop,2,0.683,,,,,,,0.09,,
Boeing314,elev_doublet_distractor,inertia_x1.6,2,0.752,1.23,1.0,0.09/1.00,0.20/1.00,,0.00/0.00,,0.00/0.00,1.0
Boeing314,elev_doublet_distractor,cmq_x0.5,3,0.752,1.03,0.0,0.08/0.33,0.40/1.00,0.53,-,,,
Boeing314,elev_doublet_distractor,cmalpha_x0.7,2,0.752,1.3,0.0,0.08/0.50,0.40/1.00,0.79,-,,,
Boeing314,elev_doublet_distractor,clo_+0.1,2,0.752,0.97,0.0,0.15/1.00,0.20/1.00,0.63,-,,,
Boeing314,elev_doublet_distractor,noop,1,0.752,,,,,,,0.05,,
Boeing314,engine_stop,inertia_x1.6,0,0.802,0.73,0.0,0.00/0.00,0.00/0.00,,-,,,
Boeing314,engine_stop,cmq_x0.5,2,0.802,1.11,3.0,0.15/1.00,0.40/1.00,0.54,0.67/1.00,,0.67/1.00,0.7
Boeing314,engine_stop,cmalpha_x0.7,1,0.802,0.62,0.0,0.08/1.00,0.20/1.00,0.84,-,,,
Boeing314,engine_stop,clo_+0.1,2,0.802,1.43,0.0,0.08/0.50,0.20/1.00,0.73,-,,,
Boeing314,engine_stop,noop,0,0.802,,,,,,,0.0,,
Camel,cruise,cmq_x0.5,0,0.804,0.31,0.0,0.00/0.00,0.00/0.00,0.4,-,,,
Camel,cruise,cmalpha_x0.7,1,0.804,0.94,0.0,0.00/0.00,0.20/1.00,0.32,-,,,
Camel,cruise,clo_+0.1,3,0.804,0.76,0.0,0.15/0.67,0.60/1.00,0.4,-,,,
Camel,cruise,noop,0,0.804,,,,,,,0.0,,
Camel,throttle_step,cmq_x0.5,3,0.778,0.39,0.0,0.08/0.33,0.40/1.00,0.47,-,,,
Camel,throttle_step,cmalpha_x0.7,2,0.778,1.16,2.0,0.08/0.50,0.20/1.00,0.56,0.00/0.00,,0.00/0.00,0.95
Camel,throttle_step,clo_+0.1,3,0.778,1.11,1.0,0.15/0.67,0.60/1.00,0.62,0.00/0.00,,0.00/0.00,0.67
Camel,throttle_step,noop,3,0.778,,,,,,,0.14,,
Camel,elev_doublet,cmq_x0.5,1,0.759,0.48,0.0,0.00/0.00,0.20/1.00,0.52,-,,,
Camel,elev_doublet,cmalpha_x0.7,2,0.759,1.16,2.0,0.15/1.00,0.40/1.00,0.74,0.50/0.50,,1.00/1.00,0.75
Camel,elev_doublet,clo_+0.1,4,0.759,0.87,0.0,0.15/0.50,0.40/1.00,0.53,-,,,
Camel,elev_doublet,noop,2,0.759,,,,,,,0.09,,
Camel,elev_step,cmq_x0.5,1,0.772,1.69,0.0,0.00/0.00,0.20/1.00,0.47,-,,,
Camel,elev_step,cmalpha_x0.7,8,0.772,22.11,13.0,0.15/0.25,0.60/1.00,0.34,0.15/0.25,,0.60/1.00,0.34
Camel,elev_step,clo_+0.1,2,0.772,0.79,0.0,0.08/0.50,0.40/1.00,0.57,-,,,
Camel,elev_step,noop,0,0.772,,,,,,,0.0,,
Camel,aileron_step,cmq_x0.5,1,0.788,0.31,0.0,0.00/0.00,0.20/1.00,0.5,-,,,
Camel,aileron_step,cmalpha_x0.7,2,0.788,0.59,0.0,0.08/0.50,0.40/1.00,0.51,-,,,
Camel,aileron_step,clo_+0.1,4,0.788,0.91,0.0,0.15/0.50,0.80/1.00,0.58,-,,,
Camel,aileron_step,noop,1,0.788,,,,,,,0.05,,
Camel,rudder_doublet,cmq_x0.5,3,0.762,0.3,0.0,0.00/0.00,0.60/1.00,0.34,-,,,
Camel,rudder_doublet,cmalpha_x0.7,1,0.762,0.51,0.0,0.08/1.00,0.20/1.00,0.62,-,,,
Camel,rudder_doublet,clo_+0.1,2,0.762,1.06,0.0,0.08/0.50,0.40/1.00,0.74,-,,,
Camel,rudder_doublet,noop,1,0.762,,,,,,,0.05,,
Camel,bank_hold,cmq_x0.5,2,0.784,0.37,0.0,0.15/1.00,0.20/1.00,0.82,-,,,
Camel,bank_hold,cmalpha_x0.7,1,0.784,0.84,0.0,0.08/1.00,0.20/1.00,0.68,-,,,
Camel,bank_hold,clo_+0.1,1,0.784,1.04,1.0,0.08/1.00,0.20/1.00,0.57,1.00/1.00,,1.00/1.00,0.9
Camel,bank_hold,noop,3,0.784,,,,,,,0.14,,
Camel,flap_extend,cmq_x0.5,3,0.785,0.32,0.0,0.08/0.33,0.40/1.00,0.18,-,,,
Camel,flap_extend,cmalpha_x0.7,4,0.785,0.73,0.0,0.23/0.75,0.40/1.00,0.62,-,,,
Camel,flap_extend,clo_+0.1,2,0.785,0.77,0.0,0.08/0.50,0.20/1.00,0.68,-,,,
Camel,flap_extend,noop,5,0.785,,,,,,,0.23,,
Camel,climbing_turn,cmq_x0.5,12,0.695,1.86,6.0,0.46/0.50,0.80/1.00,0.29,0.83/0.42,,1.00/0.75,0.67
Camel,climbing_turn,cmalpha_x0.7,9,0.695,2.3,9.0,0.31/0.44,0.60/1.00,0.38,0.44/0.44,,0.75/1.00,0.59
Camel,climbing_turn,clo_+0.1,3,0.695,1.26,5.0,0.08/0.33,0.40/1.00,0.44,0.20/0.33,,0.67/1.00,0.71
