aircraft,manoeuvre,setting,fault,recall,precision,auc,base_score
737,cruise,det_n10,inertia_x1.6,0.045454545454545456,1.0,,1.860430303175442
737,cruise,det_n10,cmq_x0.5,0.0,0.0,0.4273504273504274,1.860430303175442
737,cruise,det_n10,cmalpha_x0.7,0.0,,0.4017094017094017,1.860430303175442
737,cruise,det_n10,clo_+0.1,0.46153846153846156,1.0,0.9316239316239318,1.860430303175442
737,cruise,det_n20,inertia_x1.6,0.0,,,1.6726804783863813
737,cruise,det_n20,cmq_x0.5,0.0,,0.7863247863247863,1.6726804783863813
737,cruise,det_n20,cmalpha_x0.7,0.0,,0.6239316239316239,1.6726804783863813
737,cruise,det_n20,clo_+0.1,0.46153846153846156,1.0,0.9401709401709402,1.6726804783863813
737,cruise,det_n5,inertia_x1.6,0.045454545454545456,1.0,,2.220945082385832
737,cruise,det_n5,cmq_x0.5,0.07692307692307693,1.0,0.2991452991452992,2.220945082385832
737,cruise,det_n5,cmalpha_x0.7,0.07692307692307693,1.0,0.3931623931623932,2.220945082385832
737,cruise,det_n5,clo_+0.1,0.23076923076923078,1.0,0.7521367521367521,2.220945082385832
737,cruise,det_lags_1,inertia_x1.6,0.0,,,1.5745716154307452
737,cruise,det_lags_1,cmq_x0.5,0.0,,0.8034188034188035,1.5745716154307452
737,cruise,det_lags_1,cmalpha_x0.7,0.0,,0.7521367521367521,1.5745716154307452
737,cruise,det_lags_1,clo_+0.1,0.46153846153846156,1.0,0.9401709401709402,1.5745716154307452
737,cruise,det_lags_long,inertia_x1.6,0.0,,,1.7733439659582793
737,cruise,det_lags_long,cmq_x0.5,0.0,,0.7606837606837608,1.7733439659582793
737,cruise,det_lags_long,cmalpha_x0.7,0.0,,0.6495726495726496,1.7733439659582793
737,cruise,det_lags_long,clo_+0.1,0.46153846153846156,1.0,0.9487179487179487,1.7733439659582793
737,cruise,det_5hz,inertia_x1.6,0.0,,,1.8000796974863382
737,cruise,det_5hz,cmq_x0.5,0.0,,0.811965811965812,1.8000796974863382
737,cruise,det_5hz,cmalpha_x0.7,0.0,,0.7350427350427351,1.8000796974863382
737,cruise,det_5hz,clo_+0.1,0.46153846153846156,1.0,0.9401709401709402,1.8000796974863382
737,cruise,det_2hz,inertia_x1.6,0.0,,,2.102849559517552
737,cruise,det_2hz,cmq_x0.5,0.0,,0.6581196581196582,2.102849559517552
737,cruise,det_2hz,cmalpha_x0.7,0.0,,0.6581196581196581,2.102849559517552
737,cruise,det_2hz,clo_+0.1,0.46153846153846156,1.0,0.9658119658119659,2.102849559517552
737,cruise,sig_K3,inertia_x1.6,0.0,,,0.5796399939494781
737,cruise,sig_K3,cmq_x0.5,0.0,,0.4017094017094017,0.5796399939494781
737,cruise,sig_K3,cmalpha_x0.7,0.0,,0.3846153846153846,0.5796399939494781
737,cruise,sig_K3,clo_+0.1,0.23076923076923078,1.0,0.6837606837606838,0.5796399939494781
737,cruise,sig_K5,inertia_x1.6,0.18181818181818182,1.0,,0.7485289668733928
737,cruise,sig_K5,cmq_x0.5,0.07692307692307693,0.2,0.22222222222222227,0.7485289668733928
737,cruise,sig_K5,cmalpha_x0.7,0.0,,0.2820512820512821,0.7485289668733928
737,cruise,sig_K5,clo_+0.1,0.23076923076923078,0.75,0.5384615384615385,0.7485289668733928
737,cruise,sig_K7,inertia_x1.6,0.09090909090909091,1.0,,0.8190629254273181
737,cruise,sig_K7,cmq_x0.5,0.0,,0.28205128205128205,0.8190629254273181
737,cruise,sig_K7,cmalpha_x0.7,0.0,,0.45299145299145305,0.8190629254273181
737,cruise,sig_K7,clo_+0.1,0.15384615384615385,1.0,0.5555555555555556,0.8190629254273181
737,cruise,sig_leaf50,inertia_x1.6,0.045454545454545456,1.0,,0.7323891998184842
737,cruise,sig_leaf50,cmq_x0.5,0.0,0.0,0.1965811965811966,0.7323891998184842
737,cruise,sig_leaf50,cmalpha_x0.7,0.0,,0.2820512820512821,0.7323891998184842
737,cruise,sig_leaf50,clo_+0.1,0.23076923076923078,0.75,0.5213675213675214,0.7323891998184842
737,cruise,sig_n10,inertia_x1.6,0.0,,,0.757351384056875
737,cruise,sig_n10,cmq_x0.5,0.0,,0.22222222222222224,0.757351384056875
737,cruise,sig_n10,cmalpha_x0.7,0.0,,0.36752136752136755,0.757351384056875
737,cruise,sig_n10,clo_+0.1,0.0,,0.6324786324786325,0.757351384056875
737,cruise,sig_lags_1,inertia_x1.6,0.22727272727272727,1.0,,0.7384699742852822
737,cruise,sig_lags_1,cmq_x0.5,0.0,0.0,0.22222222222222224,0.7384699742852822
737,cruise,sig_lags_1,cmalpha_x0.7,0.0,,0.3162393162393163,0.7384699742852822
737,cruise,sig_lags_1,clo_+0.1,0.23076923076923078,0.75,0.4871794871794872,0.7384699742852822
737,cruise,sig_lags_long,inertia_x1.6,0.09090909090909091,1.0,,0.7494970503705943
737,cruise,sig_lags_long,cmq_x0.5,0.07692307692307693,0.3333333333333333,0.20512820512820518,0.7494970503705943
737,cruise,sig_lags_long,cmalpha_x0.7,0.0,,0.38461538461538464,0.7494970503705943
737,cruise,sig_lags_long,clo_+0.1,0.23076923076923078,1.0,0.5555555555555556,0.7494970503705943
737,cruise,sig_equal_width,inertia_x1.6,0.045454545454545456,1.0,,0.5228709726213886
737,cruise,sig_equal_width,cmq_x0.5,0.0,,0.6324786324786325,0.5228709726213886
737,cruise,sig_equal_width,cmalpha_x0.7,0.0,,0.4615384615384617,0.5228709726213886
737,cruise,sig_equal_width,clo_+0.1,0.3076923076923077,1.0,0.888888888888889,0.5228709726213886
737,cruise,sig_5hz,inertia_x1.6,0.09090909090909091,1.0,,0.7447598912715191
737,cruise,sig_5hz,cmq_x0.5,0.0,0.0,0.19658119658119658,0.7447598912715191
737,cruise,sig_5hz,cmalpha_x0.7,0.0,,0.33333333333333337,0.7447598912715191
737,cruise,sig_5hz,clo_+0.1,0.23076923076923078,0.75,0.5555555555555556,0.7447598912715191
737,cruise,sig_2hz,inertia_x1.6,0.0,,,0.7466003005259204
737,cruise,sig_2hz,cmq_x0.5,0.07692307692307693,0.5,0.264957264957265,0.7466003005259204
737,cruise,sig_2hz,cmalpha_x0.7,0.0,0.0,0.3931623931623932,0.7466003005259204
737,cruise,sig_2hz,clo_+0.1,0.23076923076923078,1.0,0.5641025641025641,0.7466003005259204
737,throttle_step,det_n10,inertia_x1.6,0.045454545454545456,1.0,,6.0316239724048755
737,throttle_step,det_n10,cmq_x0.5,0.0,,0.17094017094017094,6.0316239724048755
737,throttle_step,det_n10,cmalpha_x0.7,0.0,,0.4871794871794872,6.0316239724048755
737,throttle_step,det_n10,clo_+0.1,0.46153846153846156,1.0,0.6153846153846154,6.0316239724048755
737,throttle_step,det_n20,inertia_x1.6,0.09090909090909091,1.0,,3.5283541511303214
737,throttle_step,det_n20,cmq_x0.5,0.07692307692307693,1.0,0.46153846153846156,3.5283541511303214
737,throttle_step,det_n20,cmalpha_x0.7,0.23076923076923078,1.0,0.5470085470085471,3.5283541511303214
737,throttle_step,det_n20,clo_+0.1,0.46153846153846156,0.75,0.6752136752136753,3.5283541511303214
737,throttle_step,det_n5,inertia_x1.6,0.045454545454545456,1.0,,8.237239380860238
737,throttle_step,det_n5,cmq_x0.5,0.0,,0.35897435897435903,8.237239380860238
737,throttle_step,det_n5,cmalpha_x0.7,0.07692307692307693,1.0,0.4358974358974359,8.237239380860238
737,throttle_step,det_n5,clo_+0.1,0.23076923076923078,0.42857142857142855,0.641025641025641,8.237239380860238
737,throttle_step,det_lags_1,inertia_x1.6,0.045454545454545456,1.0,,3.447548164990287
737,throttle_step,det_lags_1,cmq_x0.5,0.15384615384615385,1.0,0.5213675213675213,3.447548164990287
737,throttle_step,det_lags_1,cmalpha_x0.7,0.15384615384615385,1.0,0.5641025641025641,3.447548164990287
737,throttle_step,det_lags_1,clo_+0.1,0.6153846153846154,0.8,0.6752136752136753,3.447548164990287
737,throttle_step,det_lags_long,inertia_x1.6,0.045454545454545456,1.0,,3.7539040449972565
737,throttle_step,det_lags_long,cmq_x0.5,0.0,,0.46153846153846156,3.7539040449972565
737,throttle_step,det_lags_long,cmalpha_x0.7,0.0,,0.48717948717948717,3.7539040449972565
737,throttle_step,det_lags_long,clo_+0.1,0.6923076923076923,0.8181818181818182,0.6581196581196581,3.7539040449972565
737,throttle_step,det_5hz,inertia_x1.6,0.045454545454545456,1.0,,3.5340682030186215
737,throttle_step,det_5hz,cmq_x0.5,0.0,,0.5128205128205128,3.5340682030186215
737,throttle_step,det_5hz,cmalpha_x0.7,0.23076923076923078,1.0,0.5384615384615385,3.5340682030186215
737,throttle_step,det_5hz,clo_+0.1,0.46153846153846156,0.75,0.6324786324786325,3.5340682030186215
737,throttle_step,det_2hz,inertia_x1.6,0.045454545454545456,1.0,,3.2881693368744065
737,throttle_step,det_2hz,cmq_x0.5,0.07692307692307693,1.0,0.5128205128205129,3.2881693368744065
737,throttle_step,det_2hz,cmalpha_x0.7,0.23076923076923078,1.0,0.5384615384615384,3.2881693368744065
