aircraft,manoeuvre,method,fault,n_outputs,n_oracle,recall_at3,recall_at5,ap,inspect_before_first,top_is_affected,n_flagged,any_correct_flag,reduction
737,aileron_step,envelope,clo_+0.1,22,13,0.23076923076923078,0.23076923076923078,0.646312837489308,1,True,3,True,0.8636363636363636
737,aileron_step,envelope,cmalpha_x0.7,22,13,0.15384615384615385,0.23076923076923078,0.6101390697365929,1,True,0,False,1.0
737,aileron_step,envelope,cmq_x0.5,22,13,0.15384615384615385,0.23076923076923078,0.6642664971106266,1,True,0,False,1.0
737,aileron_step,envelope,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,1,True,0.9545454545454546
737,aileron_step,iforest,clo_+0.1,22,13,0.15384615384615385,0.3076923076923077,0.7667706476530005,1,True,22,True,0.0
737,aileron_step,iforest,cmalpha_x0.7,22,13,0.07692307692307693,0.07692307692307693,0.5636906840348136,1,True,0,False,1.0
737,aileron_step,iforest,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.737531693452746,1,True,0,False,1.0
737,aileron_step,iforest,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
737,aileron_step,ks,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.7915650525944644,1,True,3,True,0.8636363636363636
737,aileron_step,ks,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.74244782994783,1,True,3,True,0.8636363636363636
737,aileron_step,ks,cmq_x0.5,22,13,0.23076923076923078,0.23076923076923078,0.6797686625115775,1,True,3,True,0.8636363636363636
737,aileron_step,ks,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,3,True,0.8636363636363636
737,aileron_step,regression,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.7538280433017276,1,True,8,True,0.6363636363636364
737,aileron_step,regression,cmalpha_x0.7,22,13,0.15384615384615385,0.23076923076923078,0.5877129218192565,1,True,0,False,1.0
737,aileron_step,regression,cmq_x0.5,22,13,0.15384615384615385,0.23076923076923078,0.6209465371230076,1,True,0,False,1.0
737,aileron_step,regression,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
737,aileron_step,sig_dynamic,clo_+0.1,22,13,0.23076923076923078,0.3076923076923077,0.7389914572606882,1,True,6,True,0.7272727272727273
737,aileron_step,sig_dynamic,cmalpha_x0.7,22,13,0.15384615384615385,0.23076923076923078,0.6402725816693428,1,True,1,False,0.9545454545454546
737,aileron_step,sig_dynamic,cmq_x0.5,22,13,0.07692307692307693,0.07692307692307693,0.473038571335785,2,False,0,False,1.0
737,aileron_step,sig_dynamic,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
737,aileron_step,sig_static,clo_+0.1,22,13,0.15384615384615385,0.3076923076923077,0.7637126705952618,1,True,8,True,0.6363636363636364
737,aileron_step,sig_static,cmalpha_x0.7,22,13,0.15384615384615385,0.15384615384615385,0.5793200349701897,2,False,0,False,1.0
737,aileron_step,sig_static,cmq_x0.5,22,13,0.07692307692307693,0.15384615384615385,0.4737138575879942,3,False,1,True,0.9545454545454546
737,aileron_step,sig_static,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
737,bank_hold,envelope,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.8011086136086137,1,True,3,True,0.8636363636363636
737,bank_hold,envelope,cmalpha_x0.7,22,13,0.07692307692307693,0.15384615384615385,0.5095821182865717,1,True,0,False,1.0
737,bank_hold,envelope,cmq_x0.5,22,13,0.15384615384615385,0.15384615384615385,0.47978599058320415,2,False,0,False,1.0
737,bank_hold,envelope,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
737,bank_hold,iforest,clo_+0.1,22,13,0.15384615384615385,0.3076923076923077,0.8202343408225763,1,True,22,True,0.0
737,bank_hold,iforest,cmalpha_x0.7,22,13,0.23076923076923078,0.23076923076923078,0.7224672644177288,1,True,4,True,0.8181818181818181
737,bank_hold,iforest,cmq_x0.5,22,13,0.23076923076923078,0.23076923076923078,0.6513308828056388,1,True,16,True,0.2727272727272727
737,bank_hold,iforest,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,14,True,0.36363636363636365
737,bank_hold,ks,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.8035213717906026,1,True,3,True,0.8636363636363636
737,bank_hold,ks,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.9221611721611722,1,True,2,True,0.9090909090909091
737,bank_hold,ks,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.8517755246262032,1,True,1,True,0.9545454545454546
737,bank_hold,ks,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,4,True,0.8181818181818181
737,bank_hold,regression,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.8119294111196946,1,True,7,True,0.6818181818181819
737,bank_hold,regression,cmalpha_x0.7,22,13,0.15384615384615385,0.3076923076923077,0.6118372726344862,1,True,0,False,1.0
737,bank_hold,regression,cmq_x0.5,22,13,0.15384615384615385,0.23076923076923078,0.5984506592478728,1,True,0,False,1.0
737,bank_hold,regression,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
737,bank_hold,sig_dynamic,clo_+0.1,22,13,0.23076923076923078,0.3076923076923077,0.7720707654918182,1,True,2,True,0.9090909090909091
737,bank_hold,sig_dynamic,cmalpha_x0.7,22,13,0.23076923076923078,0.3076923076923077,0.6923224548730622,1,True,4,True,0.8181818181818181
737,bank_hold,sig_dynamic,cmq_x0.5,22,13,0.23076923076923078,0.3076923076923077,0.7507485591463919,1,True,3,True,0.8636363636363636
737,bank_hold,sig_dynamic,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,4,True,0.8181818181818181
737,bank_hold,sig_static,clo_+0.1,22,13,0.15384615384615385,0.23076923076923078,0.6645805386696075,1,True,8,True,0.6363636363636364
737,bank_hold,sig_static,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.8527750027750028,1,True,5,True,0.7727272727272727
737,bank_hold,sig_static,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.8048541539432228,1,True,4,True,0.8181818181818181
737,bank_hold,sig_static,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,4,True,0.8181818181818181
737,climbing_turn,envelope,clo_+0.1,22,13,0.23076923076923078,0.3076923076923077,0.7219524026025574,1,True,7,True,0.6818181818181819
737,climbing_turn,envelope,cmalpha_x0.7,22,13,0.23076923076923078,0.23076923076923078,0.6716084010588654,1,True,0,False,1.0
737,climbing_turn,envelope,cmq_x0.5,22,13,0.15384615384615385,0.23076923076923078,0.6607001916212443,1,True,0,False,1.0
737,climbing_turn,envelope,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
737,climbing_turn,iforest,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.8385170385170385,1,True,22,True,0.0
737,climbing_turn,iforest,cmalpha_x0.7,22,13,0.15384615384615385,0.23076923076923078,0.6594760889265534,1,True,0,False,1.0
737,climbing_turn,iforest,cmq_x0.5,22,13,0.15384615384615385,0.23076923076923078,0.6658313908313909,1,True,0,False,1.0
737,climbing_turn,iforest,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
737,climbing_turn,ks,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.8278218513512632,1,True,2,True,0.9090909090909091
737,climbing_turn,ks,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.8802061186676571,1,True,0,False,1.0
737,climbing_turn,ks,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.8721944721944722,1,True,1,True,0.9545454545454546
737,climbing_turn,ks,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,1,True,0.9545454545454546
737,climbing_turn,regression,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.9206959706959708,1,True,9,True,0.5909090909090908
737,climbing_turn,regression,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.9594017094017093,1,True,1,True,0.9545454545454546
737,climbing_turn,regression,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.7714029441226393,1,True,1,True,0.9545454545454546
737,climbing_turn,regression,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,2,True,0.9090909090909091
737,climbing_turn,sig_dynamic,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.758710093325478,1,True,8,True,0.6363636363636364
737,climbing_turn,sig_dynamic,cmalpha_x0.7,22,13,0.23076923076923078,0.3076923076923077,0.8368863592547804,1,True,3,True,0.8636363636363636
737,climbing_turn,sig_dynamic,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.8549501582009321,1,True,3,True,0.8636363636363636
737,climbing_turn,sig_dynamic,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,2,True,0.9090909090909091
737,climbing_turn,sig_static,clo_+0.1,22,13,0.15384615384615385,0.23076923076923078,0.6215998311973544,1,True,2,True,0.9090909090909091
737,climbing_turn,sig_static,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.8044007076514816,1,True,0,False,1.0
737,climbing_turn,sig_static,cmq_x0.5,22,13,0.23076923076923078,0.3076923076923077,0.8381150622815304,1,True,0,False,1.0
737,climbing_turn,sig_static,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,0,False,1.0
737,cruise,envelope,clo_+0.1,22,13,0.23076923076923078,0.3076923076923077,0.7561910311910313,1,True,3,True,0.8636363636363636
737,cruise,envelope,cmalpha_x0.7,22,13,0.07692307692307693,0.07692307692307693,0.4755628609701007,2,False,0,False,1.0
737,cruise,envelope,cmq_x0.5,22,13,0.23076923076923078,0.23076923076923078,0.6391418033951971,1,True,1,True,0.9545454545454546
737,cruise,envelope,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,1,True,0.9545454545454546
737,cruise,iforest,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.8864370923194453,1,True,22,True,0.0
737,cruise,iforest,cmalpha_x0.7,22,13,0.23076923076923078,0.3076923076923077,0.6683028470299249,1,True,5,True,0.7727272727272727
737,cruise,iforest,cmq_x0.5,22,13,0.15384615384615385,0.23076923076923078,0.6228348534850082,1,True,22,True,0.0
737,cruise,iforest,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,22,True,0.0
737,cruise,ks,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.8692748428042546,1,True,3,True,0.8636363636363636
737,cruise,ks,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.7927035508483472,1,True,3,True,0.8636363636363636
737,cruise,ks,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.7820901876034051,1,True,1,True,0.9545454545454546
737,cruise,ks,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,3,True,0.8636363636363636
737,cruise,regression,clo_+0.1,22,13,0.23076923076923078,0.38461538461538464,0.9663050624589086,1,True,6,True,0.7272727272727273
